species,year_first_described,first_paper_reference,first_paper_title,abstract,title_abstract,foreign,hosts,infection_site,spore_length_range,spore_width_range,spore_length_avg,spore_width_avg,spore_shape,locality,nucleus,pt_max,pt_min,pt_avg,pt_coils_range,pt_coils_avg,all_references,num_papers
Berwaldia hypodermica,2017,"Vávra J, Hyliš M, Fiala I, Sacherová V, Vossbrinck CR. Microsporidian genus Berwaldia (Opisthosporidia, Microsporidia), infecting daphnids (Crustacea, Branchiopoda): Biology, structure, molecular phylogeny and description of two new species. European Journal of Protistology. 2017;61:1–12.","Microsporidian genus Berwaldia (Opisthosporidia, Microsporidia), infecting daphnids (Crustacea, Branchiopoda): Biology, structure, molecular phylogeny and description of two new species","Structural, molecular and life cycle data are presented for two microsporidian species of the genus Berwaldia: B. singularis Larsson, 1981 (type species of the genus) and B. schaefernai Vávra and Larsson, 1994, parasites of Daphnia pulex Leydig, 1860 and Daphnia galeata Sars, 1863, respectively. Analysis of the SSU rDNA gene confirmed the species status of both species and showed that the GenBank sequence data submitted previously in GenBank for the genus Berwaldia, are from microsporidia that are not Berwaldia. Correct SSU rDNA gene sequences for B. schaefernai and B. singularis are now deposited in GenBank. The life cycle of these two species appears incomplete as the spores collected from their respective infected hosts will not infect the same host when fed per os. B. schaefernai appears as a frequent parasite of Daphnia longispina/galeata complex daphnids, influencing the behaviour of the infected host. In addition, two new species, of Berwaldia, one infecting fat body tissues of Daphnia longispina/galeata complex, and the other, infecting hypodermis and fat cells of Simocephalus vetulus (O. F. Müller, 1776) are described.","Microsporidian genus Berwaldia (Opisthosporidia, Microsporidia), infecting daphnids (Crustacea, Branchiopoda): Biology, structure, molecular phylogeny and description of two new species. Structural, molecular and life cycle data are presented for two microsporidian species of the genus Berwaldia: B. singularis Larsson, 1981 (type species of the genus) and B. schaefernai Vávra and Larsson, 1994, parasites of Daphnia pulex Leydig, 1860 and Daphnia galeata Sars, 1863, respectively. Analysis of the SSU rDNA gene confirmed the species status of both species and showed that the GenBank sequence data submitted previously in GenBank for the genus Berwaldia, are from microsporidia that are not Berwaldia. Correct SSU rDNA gene sequences for B. schaefernai and B. singularis are now deposited in GenBank. The life cycle of these two species appears incomplete as the spores collected from their respective infected hosts will not infect the same host when fed per os. B. schaefernai appears as a frequent parasite of Daphnia longispina/galeata complex daphnids, influencing the behaviour of the infected host. In addition, two new species, of Berwaldia, one infecting fat body tissues of Daphnia longispina/galeata complex, and the other, infecting hypodermis and fat cells of Simocephalus vetulus (O. F. Müller, 1776) are described.",FALSE,Simocephalus vetulus,hypodermis; fat cells,4.1 (fresh),2.4 (fresh),4.1 (fresh),2.4 (fresh),ovoid,Czech Republic,1,NA,NA,NA,12-13,12.5,"Vávra J, Hyliš M, Fiala I, Sacherová V, Vossbrinck CR. Microsporidian genus Berwaldia (Opisthosporidia, Microsporidia), infecting daphnids (Crustacea, Branchiopoda): Biology, structure, molecular phylogeny and description of two new species. European Journal of Protistology. 2017;61:1–12.",1
Berwaldia nana,2017,"Vávra J, Hyliš M, Fiala I, Sacherová V, Vossbrinck CR. Microsporidian genus Berwaldia (Opisthosporidia, Microsporidia), infecting daphnids (Crustacea, Branchiopoda): Biology, structure, molecular phylogeny and description of two new species. European Journal of Protistology. 2017;61:1–12.","Microsporidian genus Berwaldia (Opisthosporidia, Microsporidia), infecting daphnids (Crustacea, Branchiopoda): Biology, structure, molecular phylogeny and description of two new species","Structural, molecular and life cycle data are presented for two microsporidian species of the genus Berwaldia: B. singularis Larsson, 1981 (type species of the genus) and B. schaefernai Vávra and Larsson, 1994, parasites of Daphnia pulex Leydig, 1860 and Daphnia galeata Sars, 1863, respectively. Analysis of the SSU rDNA gene confirmed the species status of both species and showed that the GenBank sequence data submitted previously in GenBank for the genus Berwaldia, are from microsporidia that are not Berwaldia. Correct SSU rDNA gene sequences for B. schaefernai and B. singularis are now deposited in GenBank. The life cycle of these two species appears incomplete as the spores collected from their respective infected hosts will not infect the same host when fed per os. B. schaefernai appears as a frequent parasite of Daphnia longispina/galeata complex daphnids, influencing the behaviour of the infected host. In addition, two new species, of Berwaldia, one infecting fat body tissues of Daphnia longispina/galeata complex, and the other, infecting hypodermis and fat cells of Simocephalus vetulus (O. F. Müller, 1776) are described.","Microsporidian genus Berwaldia (Opisthosporidia, Microsporidia), infecting daphnids (Crustacea, Branchiopoda): Biology, structure, molecular phylogeny and description of two new species. Structural, molecular and life cycle data are presented for two microsporidian species of the genus Berwaldia: B. singularis Larsson, 1981 (type species of the genus) and B. schaefernai Vávra and Larsson, 1994, parasites of Daphnia pulex Leydig, 1860 and Daphnia galeata Sars, 1863, respectively. Analysis of the SSU rDNA gene confirmed the species status of both species and showed that the GenBank sequence data submitted previously in GenBank for the genus Berwaldia, are from microsporidia that are not Berwaldia. Correct SSU rDNA gene sequences for B. schaefernai and B. singularis are now deposited in GenBank. The life cycle of these two species appears incomplete as the spores collected from their respective infected hosts will not infect the same host when fed per os. B. schaefernai appears as a frequent parasite of Daphnia longispina/galeata complex daphnids, influencing the behaviour of the infected host. In addition, two new species, of Berwaldia, one infecting fat body tissues of Daphnia longispina/galeata complex, and the other, infecting hypodermis and fat cells of Simocephalus vetulus (O. F. Müller, 1776) are described.",FALSE,Daphnia longispina/galeata complex,fat cells,4.0 (fresh),2.5 (fresh),4.0 (fresh),2.5 (fresh),egg-shaped,Czech Republic,1,NA,NA,NA,9,9,"Vávra J, Hyliš M, Fiala I, Sacherová V, Vossbrinck CR. Microsporidian genus Berwaldia (Opisthosporidia, Microsporidia), infecting daphnids (Crustacea, Branchiopoda): Biology, structure, molecular phylogeny and description of two new species. European Journal of Protistology. 2017;61:1–12.",1
Berwaldia singularis (1),1981,"Larsson, Ronny. “A New Microsporidium Berwaldia Singularis Gen. et Sp.Nov. from Daphnia Pulex and a Survey of Microsporidia Described from Cladocera.” Parasitology 83, no. 2 (October 1981): 325–42. https://doi.org/10.1017/S0031182000085334",A New Microsporidium Berwaldia Singularis Gen. et Sp.Nov. from Daphnia Pulex and a Survey of Microsporidia Described from Cladocera,"A new microsporidian parasite of a freshwater cladoceran from southern Sweden is described using light and electron microscopical methods. Development comprises 2 merogonial sequences, the first resulting in a cluster of 8 merozoites, the second in a chain of 4 merozoites. Each secondary merozoite develops into a sporont which divides into 2 sporoblasts, each of which develops into a spore. The spores are broadly oval and in fresh smears measure about 6 fim in length, with a single nucleus and a posterosome. The polar filament is about 40 fim long, of even thickness throughout, and appears as 15—18 coils in a single layer. The anchoring disc is small and the polaroplast is composed of 2 lamellar parts. Outside the plasma membrane of the sporont a 5-layered, electrondense substance is produced, which further differentiates into endo- and exospore, an electron-dense substance occurring patchily on the exospore and a pansporoblast membrane. During development the sporoblasts and the young spores are connected by a dense substance. Mature spores appear single or paired. The pansporoblast membrane is composed of 2 structurally different layers, namely a thin outer, single membrane and an inner layer composed of tubular structures. It is connected to the spore coat by patches of the dense substance. The new microsporidium is considered to belong to a new genus of the family Telomyxidae, and its systematic relationship with this and the related family Tuzetiidae is discussed. A survey of microsporidia from Cladocera is included.","A New Microsporidium Berwaldia Singularis Gen. et Sp.Nov. from Daphnia Pulex and a Survey of Microsporidia Described from Cladocera. A new microsporidian parasite of a freshwater cladoceran from southern Sweden is described using light and electron microscopical methods. Development comprises 2 merogonial sequences, the first resulting in a cluster of 8 merozoites, the second in a chain of 4 merozoites. Each secondary merozoite develops into a sporont which divides into 2 sporoblasts, each of which develops into a spore. The spores are broadly oval and in fresh smears measure about 6 fim in length, with a single nucleus and a posterosome. The polar filament is about 40 fim long, of even thickness throughout, and appears as 15—18 coils in a single layer. The anchoring disc is small and the polaroplast is composed of 2 lamellar parts. Outside the plasma membrane of the sporont a 5-layered, electrondense substance is produced, which further differentiates into endo- and exospore, an electron-dense substance occurring patchily on the exospore and a pansporoblast membrane. During development the sporoblasts and the young spores are connected by a dense substance. Mature spores appear single or paired. The pansporoblast membrane is composed of 2 structurally different layers, namely a thin outer, single membrane and an inner layer composed of tubular structures. It is connected to the spore coat by patches of the dense substance. The new microsporidium is considered to belong to a new genus of the family Telomyxidae, and its systematic relationship with this and the related family Tuzetiidae is discussed. A survey of microsporidia from Cladocera is included.",FALSE,Daphnia pulex,adipose tissue; hematocoel,NA,NA,5.2(fresh); 3.25(stained),2.65(fresh); 1.5(stained),broadly oval; elongate oval,Sweden; Ukraine,NA,NA,NA,40,15 - 18,16.5,"1. Larsson, Ronny. “A New Microsporidium Berwaldia Singularis Gen. et Sp.Nov. from Daphnia Pulex and a Survey of Microsporidia Described from Cladocera.” Parasitology 83, no. 2 (October 1981): 325–42. https://doi.org/10.1017/S0031182000085334",3
Berwaldia singularis (2),1981,"Larsson, Ronny. “A New Microsporidium Berwaldia Singularis Gen. et Sp.Nov. from Daphnia Pulex and a Survey of Microsporidia Described from Cladocera.” Parasitology 83, no. 2 (October 1981): 325–42. https://doi.org/10.1017/S0031182000085334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2. Kilochitskii PY, Ovcharenko NA, Polkovenko OV, Shostak LV. Microsporidia of Branchiopods from the Northern regions of Ukraine. Hydrobiol J. 2002;38:65–76.",3
Berwaldia singularis (3),1981,"Larsson, Ronny. “A New Microsporidium Berwaldia Singularis Gen. et Sp.Nov. from Daphnia Pulex and a Survey of Microsporidia Described from Cladocera.” Parasitology 83, no. 2 (October 1981): 325–42. https://doi.org/10.1017/S0031182000085334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3. Vávra J, Hyliš M, Fiala I, Sacherová V, Vossbrinck CR. Microsporidian genus Berwaldia (Opisthosporidia, Microsporidia), infecting daphnids (Crustacea, Branchiopoda): Biology, structure, molecular phylogeny and description of two new species. European Journal of Protistology. 2017;61:1–12.",3
Binucleata daphniae,2008,"REFARDT D, DECAESTECKER E, JOHNSON PTJ, VÁVRA J. Morphology, Molecular Phylogeny, and Ecology of Binucleata daphniae n. g., n. sp. (Fungi: Microsporidia), a Parasite of Daphnia magna Straus, 1820 (Crustacea: Branchiopoda). J Eukaryot Microbiol. Blackwell Publishing Inc; 2008;55:393–408.","Morphology, Molecular Phylogeny, and Ecology of Binucleata daphniae n. g., n. sp. (Fungi: Microsporidia), a Parasite of Daphnia magna Straus, 1820 (Crustacea: Branchiopoda)","ABSTRACT . We describe a new microsporidian species Binucleata daphniae, n. g., n. sp., that infects the integument cells lining the hemocoele cavity of the carapace and the postabdomen of the cladoceran Daphnia magna Straus. Infected cells filled with spores accumulate as large clusters in the carapace cavity and heavily infected hosts are detected by their opaque appearance. Despite the parasite's presence, infected Daphnia grow and molt, but have a reduced fecundity. During the parasite's life cycle, chain-like meronts with isolated nuclei are formed, giving rise to binucleate presporonts, the most frequently observed, characteristic developmental stage. In sporogony, the nuclei of the presporont separate, divide, and eight spores enclosed in a thin-walled sporophorous vesicle are formed. Spores are 4.9 × 2.5 μm in size (fresh) and have an anisofilar polar filament with eight coils. DNA sequence analysis places B. daphniae in a clade of microsporidians that parasitize crustaceans and mosquitoes and have assumed complex life cycles. Binucleata daphniae, however, has a simple and direct life cycle and can be transferred to naïve hosts and maintained as persistent infections in populations of its host D. magna. We propose that B. daphniae has simplified its life cycle by losing its secondary host, rendering it unique in this clade.","Morphology, Molecular Phylogeny, and Ecology of Binucleata daphniae n. g., n. sp. (Fungi: Microsporidia), a Parasite of Daphnia magna Straus, 1820 (Crustacea: Branchiopoda). ABSTRACT . We describe a new microsporidian species Binucleata daphniae, n. g., n. sp., that infects the integument cells lining the hemocoele cavity of the carapace and the postabdomen of the cladoceran Daphnia magna Straus. Infected cells filled with spores accumulate as large clusters in the carapace cavity and heavily infected hosts are detected by their opaque appearance. Despite the parasite's presence, infected Daphnia grow and molt, but have a reduced fecundity. During the parasite's life cycle, chain-like meronts with isolated nuclei are formed, giving rise to binucleate presporonts, the most frequently observed, characteristic developmental stage. In sporogony, the nuclei of the presporont separate, divide, and eight spores enclosed in a thin-walled sporophorous vesicle are formed. Spores are 4.9 × 2.5 μm in size (fresh) and have an anisofilar polar filament with eight coils. DNA sequence analysis places B. daphniae in a clade of microsporidians that parasitize crustaceans and mosquitoes and have assumed complex life cycles. Binucleata daphniae, however, has a simple and direct life cycle and can be transferred to naïve hosts and maintained as persistent infections in populations of its host D. magna. We propose that B. daphniae has simplified its life cycle by losing its secondary host, rendering it unique in this clade.",FALSE,Daphnia magna,integumentary,"4.9 um (fresh),
3.9 um (fixed)","2.5 um (fresh),
2.2 um (fixed)",4.9 um (fresh); 3.9 um (fixed),2.5 um (fresh); 2.2 um (fixed),pyriform,Belgium,1,NA,NA,NA,8,8,"1. REFARDT D, DECAESTECKER E, JOHNSON PTJ, VÁVRA J. Morphology, Molecular Phylogeny, and Ecology of Binucleata daphniae n. g., n. sp. (Fungi: Microsporidia), a Parasite of Daphnia magna Straus, 1820 (Crustacea: Branchiopoda). J Eukaryot Microbiol. Blackwell Publishing Inc; 2008;55:393–408.",1
Binucleospora elongata,1995,"Bronnvall AM, Ronny Larsson JI. Description of Binucleospora elongata gen. et sp. nov. (microspora, caudosporidae), a microsporidian parasite of ostracods of the genus Candona (crustacea, cyprididae) in Sweden. Europ J Protistol. 1995;31:63–72.","Description of Binucleospora elongata gen. et sp. nov. (microspora, caudosporidae), a microsporidian parasite of ostracods of the genus Candona (crustacea, cyprididae) in Sweden","The microsporidium Binucleospora elongata n.g., n. sp., a parasite of ostracods of the genus Candona in Sweden, is described based on light microscopic and ultrastructural characteristics. Merogonial stages and sporonts are diplokaryotic. Rounded merogonial Plasmodia produce at least 8 diplokaryotic merozoites by plasmotomy. Sporogonial Plasmodia, with 16–32 diplokarya, are initially rounded, but the shape changes to ribbon-like prior to the release of sporoblasts. The close association between the nuclei breaks at the end of the sporogony. The fragile sporophorous vesicle breaks when the spores are mature. The binucleate spores are rod-shaped, slightly curved, and measure approximately 2 × 5-6.8 μm in living condition. The exospore is two-layered with an internal double membrane-like layer and a cover of granular material. The isofilar polar filament is arranged in 11–14 irregular coils in the posterior half of the spore. The polaroplast has three regions: narrow, closely packed lamellae anteriorly, wider lamellae in the median region, and posterior tubuli. The nuclei are enveloped in multiple layers of smooth endoplasmic reticulum. The microsporidium is compared to the microsporidia of Ostracoda, and its possible relations to the genera Octosporea, Pseudopleistophora and Perezia are discussed. The new genus is provisionally included in the family Caudosporidae.","Description of Binucleospora elongata gen. et sp. nov. (microspora, caudosporidae), a microsporidian parasite of ostracods of the genus Candona (crustacea, cyprididae) in Sweden. The microsporidium Binucleospora elongata n.g., n. sp., a parasite of ostracods of the genus Candona in Sweden, is described based on light microscopic and ultrastructural characteristics. Merogonial stages and sporonts are diplokaryotic. Rounded merogonial Plasmodia produce at least 8 diplokaryotic merozoites by plasmotomy. Sporogonial Plasmodia, with 16–32 diplokarya, are initially rounded, but the shape changes to ribbon-like prior to the release of sporoblasts. The close association between the nuclei breaks at the end of the sporogony. The fragile sporophorous vesicle breaks when the spores are mature. The binucleate spores are rod-shaped, slightly curved, and measure approximately 2 × 5-6.8 μm in living condition. The exospore is two-layered with an internal double membrane-like layer and a cover of granular material. The isofilar polar filament is arranged in 11–14 irregular coils in the posterior half of the spore. The polaroplast has three regions: narrow, closely packed lamellae anteriorly, wider lamellae in the median region, and posterior tubuli. The nuclei are enveloped in multiple layers of smooth endoplasmic reticulum. The microsporidium is compared to the microsporidia of Ostracoda, and its possible relations to the genera Octosporea, Pseudopleistophora and Perezia are discussed. The new genus is provisionally included in the family Caudosporidae.",FALSE,Candona sp.,adipose tissue; conective tissue; haemocytes,5 - 6.8 (live); 3.7 - 5.8 (fixed and stained),NA,5.9 (live); 4.75 (fixed and stained),2 (live); 2 (fixed and stained),rod-shaped; slightly curved,"Sweden (Hoje a river, Esarp)",2,NA,NA,NA,11 - 14,12.5,"Bronnvall AM, Ronny Larsson JI. Description of Binucleospora elongata gen. et sp. nov. (microspora, caudosporidae), a microsporidian parasite of ostracods of the genus Candona (crustacea, cyprididae) in Sweden. Europ J Protistol. 1995;31:63–72.",1
Brachiola gambiae,2004,"Weiser J, Žižka Z. Brachiola gambiae sp. n. the Microsporidian Parasite of Anopheles gambiae and A. melas in Liberia. Acta Protozool. 2004;43:73–80.",Brachiola gambiae sp. n. the Microsporidian Parasite of Anopheles gambiae and A. melas in Liberia,"Brachiola gambiae sp. n., former Nosema cf. stegomyiae, infected natural and insectary colonies of Anopheles gambiae and A. melas in Liberia and reduced susceptivity of the mosquito to development of malaria parasites and their transmission to man. It infects most tissues of adult male and female mosquitoes, destroying the midgut, Malpighian tubules, the fat body, muscles, hypoderm and connective tissues. It is usually transmitted with feces released by mosquitoes during feeding on cotton swabs with honey water. In sporogony the oval binucleate spores, 2.5-3 x 1.5-2 μm, have an anisofilar polar filament coiled in 9 coils in one row. Five anterior coils are of larger diameter than the posterior three to four. Macrospores 3-4 x 2 μm form a low percentage of mature spores (1:30). Tubulovesicular secretions are present.","Brachiola gambiae sp. n. the Microsporidian Parasite of Anopheles gambiae and A. melas in Liberia. Brachiola gambiae sp. n., former Nosema cf. stegomyiae, infected natural and insectary colonies of Anopheles gambiae and A. melas in Liberia and reduced susceptivity of the mosquito to development of malaria parasites and their transmission to man. It infects most tissues of adult male and female mosquitoes, destroying the midgut, Malpighian tubules, the fat body, muscles, hypoderm and connective tissues. It is usually transmitted with feces released by mosquitoes during feeding on cotton swabs with honey water. In sporogony the oval binucleate spores, 2.5-3 x 1.5-2 μm, have an anisofilar polar filament coiled in 9 coils in one row. Five anterior coils are of larger diameter than the posterior three to four. Macrospores 3-4 x 2 μm form a low percentage of mature spores (1:30). Tubulovesicular secretions are present.",FALSE,Anopheles gambiae (1); Anopheles melas (2),intestinal; Malphigian; adipose; muscle; hyopdermal; connective,2.2-2.5 um (c1; fixed); 4.5-5.0 um (c2; fixed),1.4-1.6 um (c1; fixed); 2.0 um (c2; fixed),"2.35 um (c1, fixed); 4.75 um (c2, fixed)","1.5 um (c1, fixed); 2.0 um (c2, fixed)","oval; pyriform (c1, c2)",Liberia,2 (c1); 2 (c2),NA,NA,NA,"9-12 (c1),
9-13 (c2)",10.5 (c1); 11 (c2),"1. Weiser J, Žižka Z. Brachiola gambiae sp. n. the Microsporidian Parasite of Anopheles gambiae and A. melas in Liberia. Acta Protozool. 2004;43:73–80.",1
Brachiola vesicularum,1998,"Cali A, Takvorian PM, Lewin S, Rendel M, Sian CS, Wittner M, et al. Brachiola vesicularum, n. g., n. sp., a new microsporidium associated with AIDS and myositis. J Eukaryot Microbiol. 1998;45:240–51.","Brachiola vesicularum, n. g., n. sp., a new microsporidium associated with AIDS and myositis","Brachiola vesicularum, n. g., n. sp., is a new microsporidum associated with AIDS and myositis. Biopsied muscle tissue, examined by light and electron microscopy, revealed the presence of organisms developing in direct contact with muscle cell cytoplasm and fibers. No other tissue types were infected. All parasite stages contain diplokaryotic nuclei and all cell division is by binary fission. Sporogony is disporoblastic, producing 2.9 x 2 microns diplokaryotic spores containing 8-10 coils of the polar filament arranged in one to three rows, usually two. Additionally, this microsporidium produces electron-dense extracellular secretions and vesiculotubular appendages similar to Nosema algerae. However, the production of protoplasmic extensions which may branch and terminate in extensive vesiculotubular structures is unique to this parasite. Additionally, unlike Nosema algerae, its development occurred at warm blooded host temperature (37-38 degrees C) and unlike Nosema connori, which disseminates to all tissue types, B. vesicularum infected only muscle cells. Thus, a new genus and species is proposed. Because of the similarities with the genus Nosema, this new genus is placed in the family Nosematidae. Successful clearing of this infection (both clinically and histologically) resulted from treatment with albendazole and itraconozole.","Brachiola vesicularum, n. g., n. sp., a new microsporidium associated with AIDS and myositis. Brachiola vesicularum, n. g., n. sp., is a new microsporidum associated with AIDS and myositis. Biopsied muscle tissue, examined by light and electron microscopy, revealed the presence of organisms developing in direct contact with muscle cell cytoplasm and fibers. No other tissue types were infected. All parasite stages contain diplokaryotic nuclei and all cell division is by binary fission. Sporogony is disporoblastic, producing 2.9 x 2 microns diplokaryotic spores containing 8-10 coils of the polar filament arranged in one to three rows, usually two. Additionally, this microsporidium produces electron-dense extracellular secretions and vesiculotubular appendages similar to Nosema algerae. However, the production of protoplasmic extensions which may branch and terminate in extensive vesiculotubular structures is unique to this parasite. Additionally, unlike Nosema algerae, its development occurred at warm blooded host temperature (37-38 degrees C) and unlike Nosema connori, which disseminates to all tissue types, B. vesicularum infected only muscle cells. Thus, a new genus and species is proposed. Because of the similarities with the genus Nosema, this new genus is placed in the family Nosematidae. Successful clearing of this infection (both clinically and histologically) resulted from treatment with albendazole and itraconozole.",FALSE,Homo sapiens,striated muscles,NA,NA,2.9 (fixed),2 (fixed),NA,NA,NA,NA,NA,NA,NA,9,"Cali A, Takvorian PM, Lewin S, Rendel M, Sian CS, Wittner M, et al. Brachiola vesicularum, n. g., n. sp., a new microsporidium associated with AIDS and myositis. J Eukaryot Microbiol. 1998;45:240–51.",1
Bryonosema plumatellae,2002,"Canning EU, Refardt D, Vossbrinck CR, Okamura B, Curry A. New diplokaryotic microsporidia (Phylum Microsporidia) from freshwater bryozoans (Bryozoa, Phylactolaemata). Eur J Protistol. Elsevier Science; 2002;38:247–65.","New diplokaryotic microsporidia (Phylum Microsporidia) from freshwater bryozoans (Bryozoa, Phylactolaemata)","Three new species of microsporidia from freshwater bryozoans were investigated by microscopy and rDNA sequencing. These microsporidia and the previously described Nosema cristatellae have been ascribed to new genera, Pseudonosema gen. nov. for N. cristatellae from Cristatella mucedo, Trichonosema gen. nov. for Trichonosema pectinatellae sp. nov. from Pectinatella magnifica and Bryonosema gen. nov. for Bryonosema plumatellae sp. nov. from Plumatella nitens and for Bryonosema tuftyi sp. nov. from Plumatella sp. The new genera have been placed in a new family Pseudonosematidae with the following characters: diplokaryotic, disporoblastic and development in direct contact with host cell cytoplasm; spores of known species large with numerous polar tube coils; exospore dense with spiky extensions; or without spiky extensions and constructed of one or two layers; endospore and exospore thinned over the anchoring disc; anchoring disc ovoid with denser boundary around lucent interior penetrated by the inner core of the polar tube; polar sac small, umbrella-like; polar tube coils arranged as a single row anteriorly and posteriorly and as 2 or 3 rows in the middle; prominent reticulate Golgi system in sporoblasts and immature spores. Analysis of 16S rDNA by Baysian inference, maximum likelihood and parsimony placed all four species from bryozoans in one clade but the genera Trichonosema and Pseudonosema were separated from Bryonosema by the genera Janacekia and Bacillidium, which, on morphological grounds, cannot be included in the new family. The species are identified by morphological characters and their small subunit rDNA sequences.","New diplokaryotic microsporidia (Phylum Microsporidia) from freshwater bryozoans (Bryozoa, Phylactolaemata). Three new species of microsporidia from freshwater bryozoans were investigated by microscopy and rDNA sequencing. These microsporidia and the previously described Nosema cristatellae have been ascribed to new genera, Pseudonosema gen. nov. for N. cristatellae from Cristatella mucedo, Trichonosema gen. nov. for Trichonosema pectinatellae sp. nov. from Pectinatella magnifica and Bryonosema gen. nov. for Bryonosema plumatellae sp. nov. from Plumatella nitens and for Bryonosema tuftyi sp. nov. from Plumatella sp. The new genera have been placed in a new family Pseudonosematidae with the following characters: diplokaryotic, disporoblastic and development in direct contact with host cell cytoplasm; spores of known species large with numerous polar tube coils; exospore dense with spiky extensions; or without spiky extensions and constructed of one or two layers; endospore and exospore thinned over the anchoring disc; anchoring disc ovoid with denser boundary around lucent interior penetrated by the inner core of the polar tube; polar sac small, umbrella-like; polar tube coils arranged as a single row anteriorly and posteriorly and as 2 or 3 rows in the middle; prominent reticulate Golgi system in sporoblasts and immature spores. Analysis of 16S rDNA by Baysian inference, maximum likelihood and parsimony placed all four species from bryozoans in one clade but the genera Trichonosema and Pseudonosema were separated from Bryonosema by the genera Janacekia and Bacillidium, which, on morphological grounds, cannot be included in the new family. The species are identified by morphological characters and their small subunit rDNA sequences.",FALSE,Plumatella nitens,NA,8.4 ± 0.4 um (fresh),5.8 ± 0.01 um (fresh),8.4 ± 0.4 um (fresh),5.8 ± 0.01 um (fresh),pyriform,USA (MI),2,NA,NA,NA,12 - 15 (5-6 + 2-3 + 5-6),13.5,"1. Canning EU, Refardt D, Vossbrinck CR, Okamura B, Curry A. New diplokaryotic microsporidia (Phylum Microsporidia) from freshwater bryozoans (Bryozoa, Phylactolaemata). Eur J Protistol. Elsevier Science; 2002;38:247–65.",1
Bryonosema tuftyi,2002,"Canning EU, Refardt D, Vossbrinck CR, Okamura B, Curry A. New diplokaryotic microsporidia (Phylum Microsporidia) from freshwater bryozoans (Bryozoa, Phylactolaemata). Eur J Protistol. Elsevier Science; 2002;38:247–65.","New diplokaryotic microsporidia (Phylum Microsporidia) from freshwater bryozoans (Bryozoa, Phylactolaemata)","Three new species of microsporidia from freshwater bryozoans were investigated by microscopy and rDNA sequencing. These microsporidia and the previously described Nosema cristatellae have been ascribed to new genera, Pseudonosema gen. nov. for N. cristatellae from Cristatella mucedo, Trichonosema gen. nov. for Trichonosema pectinatellae sp. nov. from Pectinatella magnifica and Bryonosema gen. nov. for Bryonosema plumatellae sp. nov. from Plumatella nitens and for Bryonosema tuftyi sp. nov. from Plumatella sp. The new genera have been placed in a new family Pseudonosematidae with the following characters: diplokaryotic, disporoblastic and development in direct contact with host cell cytoplasm; spores of known species large with numerous polar tube coils; exospore dense with spiky extensions; or without spiky extensions and constructed of one or two layers; endospore and exospore thinned over the anchoring disc; anchoring disc ovoid with denser boundary around lucent interior penetrated by the inner core of the polar tube; polar sac small, umbrella-like; polar tube coils arranged as a single row anteriorly and posteriorly and as 2 or 3 rows in the middle; prominent reticulate Golgi system in sporoblasts and immature spores. Analysis of 16S rDNA by Baysian inference, maximum likelihood and parsimony placed all four species from bryozoans in one clade but the genera Trichonosema and Pseudonosema were separated from Bryonosema by the genera Janacekia and Bacillidium, which, on morphological grounds, cannot be included in the new family. The species are identified by morphological characters and their small subunit rDNA sequences.","New diplokaryotic microsporidia (Phylum Microsporidia) from freshwater bryozoans (Bryozoa, Phylactolaemata). Three new species of microsporidia from freshwater bryozoans were investigated by microscopy and rDNA sequencing. These microsporidia and the previously described Nosema cristatellae have been ascribed to new genera, Pseudonosema gen. nov. for N. cristatellae from Cristatella mucedo, Trichonosema gen. nov. for Trichonosema pectinatellae sp. nov. from Pectinatella magnifica and Bryonosema gen. nov. for Bryonosema plumatellae sp. nov. from Plumatella nitens and for Bryonosema tuftyi sp. nov. from Plumatella sp. The new genera have been placed in a new family Pseudonosematidae with the following characters: diplokaryotic, disporoblastic and development in direct contact with host cell cytoplasm; spores of known species large with numerous polar tube coils; exospore dense with spiky extensions; or without spiky extensions and constructed of one or two layers; endospore and exospore thinned over the anchoring disc; anchoring disc ovoid with denser boundary around lucent interior penetrated by the inner core of the polar tube; polar sac small, umbrella-like; polar tube coils arranged as a single row anteriorly and posteriorly and as 2 or 3 rows in the middle; prominent reticulate Golgi system in sporoblasts and immature spores. Analysis of 16S rDNA by Baysian inference, maximum likelihood and parsimony placed all four species from bryozoans in one clade but the genera Trichonosema and Pseudonosema were separated from Bryonosema by the genera Janacekia and Bacillidium, which, on morphological grounds, cannot be included in the new family. The species are identified by morphological characters and their small subunit rDNA sequences.",FALSE,Plumatella sp.,NA,7.0-7.8 um,4.0-5.0 um,7.4 um,4.5 um,pyriform,England,2,NA,NA,NA,NA,NA,"1. Canning EU, Refardt D, Vossbrinck CR, Okamura B, Curry A. New diplokaryotic microsporidia (Phylum Microsporidia) from freshwater bryozoans (Bryozoa, Phylactolaemata). Eur J Protistol. Elsevier Science; 2002;38:247–65.",1
