column,microsporidia_species,original_value,manually_corrected_value,reason_for_correction
Hosts,Amblyospora hristinia,Ochlerotatus communis,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora indicola,Culex sitiens; Apocyclops sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora jurginia,Ochlerotatus excrucians,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora kazankia,Ochlerotatus dianaetus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora kolarovi,Aedes sp.; Culex sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora macrococcus,Corynoneura sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora mavlukevia,Aedes cinereus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora media,Aedes dorsalis,Ae. c. dorsalis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora mocrushinia,Ochlerotatus mocrushinia,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora modestium,Culex modestus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora orbiculata,Aedes sp.; Culex sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora rugosa,Aedes sp.; Culex sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora salairia,Aedes cinereus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora severinia,Ochlerotatus excrucians,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora shegaria,Aedes cinereus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora sp. 37,Aedes cantador,Aedes cantans,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora sp. 40,Ochlerotatus detritus,Ochlerotatus detritus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora stimuli,Aedes stimulans; Diacyclops bicuspidatus thomasi,Aedes stimulans,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora timirasia,Aedes cinereus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora undata,Aedes sp.; Culex sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora urski,Aedes sp.; Culex sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amblyospora weiseri,Aedes cantans,Aedes cantans,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Ameson sp.,Penaeus monodon,Penaeus monodon,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Amoebosporidium minutum,Vannella cirrifera,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Anncaliia meligethi (= Nosema meligethi),Meligethes aenus; Pieris brassicae,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Auraspora canningae,Lepidocyrtus lignorum,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Berwaldia hypodermica,Simocephalus vetulus,Simocephalus vetulus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Berwaldia nana,Daphnia longispina/galeata complex,Daphnia longispina/galeata complex,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Binucleospora elongata,Candona sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Brachiola vesicularum,Homo sapiens,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Caudosporidae sp.,Gigantodax antarcticum; G. chilense; G. fuluescens; G. rufescens; G. rufidulum,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Conglomerata obtusa,Daphnia pulex,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Cucumispora dikerogammari,Dikerogammarus villosus; Dikerogammarus haemobaphes; Chaetogammarus ischnus; Pontogammarus crassus,Chaetogammarus ischnus; Pontogammarus crassus; Dikerogammaris villosus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Cystosporogenes sp.,Agrilus anxius,Agrilus anxius,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Desmozoon lepeophtherii (also Paranucleospora theridion),Lepeophtheirus salmonis; Salmo salar; Caligus elongatus; Oncorhynchus mykiss,Lepeophtheirus salmonis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Dictyocoela diporeiae,Diporeia sp.; Amphipoda; Gammaridea,Amphipoda; Gammaridea; Diporeia spp.,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Dictyocoela duebenum,Gammarus duebeni,Gammarus duebeni,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Dictyocoela roeselum,Gammarus roeseli; Gammarus balcanicus; Gammarus fossarum,Gammarus roeseli,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Duboscqia aediphaga,Aedes vigilax,Aedes (Ochlerotatus) vigilax,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Encephalitozoon flavescens,Tomocerus flavescens,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Encephalitozoon hellem,Homo sapiens; Melopsittacus undulatus; Eclectus roratus; Chalcopsitta scintillata,human,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Encephalitozoon intestinalis (= Septata intestinalis),Homo sapiens,Aids Patients,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Encephalitozoon lacertae,Mabuya perrotetii; Podracis muralis,Mabuya perrotetii,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Encephalitozoon sp. (?),Agapornis roseicolli,Agapornis roseicolli,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Encephalitozoon sp. 2,Homo sapiens,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Encephalitozoon sp. 3,Homo sapiens,AIDS patient,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Encephalitozoon sp. 4,Homo sapiens,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Encephalitozoon sp. 5,Struthio camelus,Struthio camelus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Encephalitozoon sp. 6,Amblyomma cajennense; Anocentor nitens,Amblyomma cajennense; Anocentor nitens,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Encephalitozoon sp. 7,Homo sapiens,Homo sapiens,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Endoreticulatus sp. from Eilema complana,Eilema complana,Eilema complana,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Enterocytospora artemiae,Artemia franciscana; Artemia monica; Artemia parthenogenetica,Artemia franciscana; Artemia parthenogenetica,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Enterocytozoon bieneusi,Homo sapiens; Macaca mulatta,human,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Enterocytozoon salmonis (Nucleospora salmonis),Oncorhynchus tshawytscha; Oncorhynchus mykiss,Oncorhynchus tshawytscha,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Enterocytozoon sp.,Cyclopterus lumpus,Cyclopterus lumpus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Enteropsectra breve,Oscheius tipulae,Oscheius tipulae,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Enteropsectra longa,Oscheius sp.,Oscheius sp.,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Episeptum anaboliae,Anabolia furcata,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Episeptum pseudoinversum,Sericostoma personatum,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Episeptum trichoinvadens,Potamophylax cingulatus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Flabelliforma diaptomi (= Stempellia diaptomi),Diaptomus gracilis,Diaptomus gracilis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Geusia gamocystis,Gamocystis ephemerae,Gamocystis ephemerae,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Globulispora mitoportans,Daphnia pulex; Simocephalus vetulus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Glugea americanus,Lophius americanus,Lophius americanus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Gurleya orchestiae,Orchestia bottae,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Hamiltosporidium magnivora (= Flabelliforma magnivora),Daphnia magna,Daphnia magna,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Helmichia aggregata,Endochironomus sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Heterovesicula cowani (= Vairimorpha sp.),Anabrus simplex,Anabrus simplex,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Hrabyeia xerkophora,"""freshwater oligochaete""",Nais christinae,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Intrapredatorus barri,Culex fuscanus; Culex halifaxi,Culex fuscanus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Johenrea locustae,Locusta migratoria capito; Locusta migratoria migratorioides; Schistocerca gregaria,Locusta migratoria capito,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Kabataia arthuri (= Microsporidium arthuri),Pangasius sutchi,Pangasius sutchi,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Kneallhazia solenopsae,Solenopsis invicta; Solenopsis richteri,Solenopsis invicta,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Liebermannia sp. [unknown],Chorthippus loratus,Chorthippus loratus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Loggerhead turtle microsporidium,Caretta caretta,Caretta caretta,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Loma diplodae,Diplodus sargus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Loma fontinalis,Savelinus fontinalis,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Loma kenti,Microgadus proximus,Pacific tomcod,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Loma lingcodae,Ophiodon elongatus,lingcod,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Loma mugili,Planiliza haematocheila,Mugil soiuy,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Loma pacificodae,Gadus macrocephalus,Pacific cod,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Loma richardi,Anoplopoma fimbria,sablefish,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Loma salmonae,Oncorhynchus mykiss; Oncorhynchus kisutch; Oncorhynchus tshawytscha; Salvelinus fontinalis; Salmo trutta,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Loma sp.,Oncorhynchus mykiss,Onco-rhynchus mykiss,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Loma wallae,Theragra chalcogramma,walleye pollock,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Lotmaria passim,Apis mellifera; Apis cerana,Apis mellifera,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Metchnikovella sp. (?),Ephydatia fluviatilis,Ephydatia fluviatilis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Metchnikovella spiralis,Polyrhabdina elegans,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microspordium sp. C. aurata,Crepidodera aurata,Crepidodera aurata,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium acanthocephali,Acanthocephaloides propinquus; Yamagutisentis sp.; Acanthocephaloides geneticus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium caeruleosticti,Sparus caeruleostictus,Sparus caeruleostictus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium cerebralis,Salmo salar,Salmo salar,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium ceylonensis,Homo sapiens,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium chironomi from 1981,Chironomus attenuatus,Chironomus attenuatus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium chloroscombri,Chloroscombrus chrysurus,Chloroscombrus chrysurus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium dicologolossae,Dicologolossa cuneata,Dicologoglossa cuneata,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium enchytreidorum,Fridericia ratzeli,Fridericia tatzeli,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium fimbriatum,Aedes taeniorhynchus,Aedes taeniorhynchus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium lotaensis,Aedes vigilax,Aedes (Ochlerotatus) vigilax,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium milevae,Thunnus thynnus,Thunnus thynnus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium oligochaetae,Fridericia ratzeli,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium propinqui,Acanthocephaloides propinquus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Microsporidium rhabdophilia,Oncorhynchus tshawtscha; Oncorhynchus kisutch; Salmo gairdnerii gairdnerii,Oncorhynchus kisutch; Salmo gairdnerii gairdnerii; Oncorhynchus tshawytscha,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Mutated Thelohaniidae sp.,Microtendipes pedellus,Microtendipes pedellus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Mutated Unikaryonidae sp.,Cricotopus silvestris,Cricotopus silvestris,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Myosporidium ladogensis (= Pleistophora ladogensis),Lota lota; Osmerus eperlanus,Lota lota; Osmerus eperlanus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Napamichum aequifilum,Limmochares aquatica,Limnochares aquatica,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Napamichum cellatum,Endochironomus sp.,midge larva,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nematocida ausubeli,Caenorhabditis briggsae; Caenorhabditis elegans; Caenorhabditis remanei,Caenorhabditis elegans,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nematocida ciargi,Procephalobus sp. strain JU2895,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nematocida homosporus,Oscheius tipulae; Rhabditella typhae,Oscheius tipulae,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nematocida major,Caenorhabditis briggsae; Caenorhabditis tropicali,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nematocida minor,Oscheius tipulae,Oscheius tipulae,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nematocida parisii,Caenorhabditis elegans; Caenorhabditis briggsae,Caenorhabditis elegans,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nolleria pulicis,Ctenocephalides felis; Pulex simulans,Ctenocephalides felis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema apicalis,Hylobittacus apicalis,Hylobittacus apicalis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema apterygotae,Orchesella flavescens,Orchesella flavescens,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema assamensis,Antheraea assamensis,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema ceranae,Apis cerana; Apis mellifera; Galleria mellonella,Apis cerana,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema chrysorrhoeae,Euprocitis chrysorrhoea,Euproctis chrysorrhoea,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema dikerogammari,Dikerogammarus villosus; Pontogamtnarus crassus,Dikerogammarus villosus; Pontogammarus crassus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema dryocoetesi,Dryocoetes autographus,Dryocoetes autograpbus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema dungeri,Isotoma violacea,Isotoma violacea,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema epilachnae,Epilachna varivestis,Epilachna varivestis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema fuhreri,Phtiracarus globosus,Phtiracarus globosus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema furnacalis,Ostrinia nubilalis; Helicoverpa zea,Helicoverpa zea,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema lepidocyrti,Lepidocyrtus lignorum,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema liturae,Spodoptera litura; Helicoverpa armigera,Spodoptera litura; Heliothis armigera,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema maddoxi,Chinavia hilaris; Halyomorpha halys; Euschistus servus; Euschistus tristigmus; Euschistus variolarius; Podisus maculiventris; Nezara viridula; Oncopeltus fasciatus,Chinavia hilaris; Halyomorpha halys; Euschistus servus; Euschistus tristigmus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema medinalis,Cnaphalocrocis medinalis,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema mylitta,Antheraea mylitta,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema onychiurus,Onychiurus quadriocellatus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema ormieresi,Marteilia refringens,Marteilia refringens,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema petrosa,Lepidocyrtus cyaneus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema pfeifferi,Acanthocyclops viridis,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema pilicornis,Schizocerella pilicornis; Heliothis zea; Spodoptera frugiperda; Diacrisia virginica; Autographa precationis,Schizocerella pilicornis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema polyphemi,Polyphemus pediculus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema ricini,Philosamia ricini,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema sp. 30,Sceliodes cordalis,Sceliodes cordalis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema sp. 32,Ectomyelois ceratoniae,Ectomyelois ceratoniae,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema sp. 33,Helicoverpa armigera,Helicoverpa armigera,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema sp. 35,NA,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema sp. from Operophtera brumata,Operophtera brumata,Operophtera brumata,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema sp. from Orthosia cerasi,Orthosia cerasi,Orthosia cerasi,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema sp. from Orthosia cruda,Orthosia cruda,Orthosia cruda,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema sp. from Tortrix viridana,Tortrix viridana,Tortrix viridana,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema steganacari,Steganacurus striculus,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nosema varivestis,Epilachna varivestis,Epilachna varivestis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Novothelohania ovalae,Ochlerotatus caspius,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nucleophaga terricolae,Thecamoeba terricola,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Nudispora biformis,Coenagrion hastulaturn,Coenagrion hastulatum,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Octosporea diaphanosomae,Diaphanosoma brachyurum,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Oligosporidium arahnicolum,Xysticus cambridgei,Xysticus cambridgei,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Oogranate pervascens,Maculaura alaskensis; Maculaura aquilonia; Maculaura oregonensis; Maculaura cerebrosa,Maculaura alaskensis; Maculaura aquilonia; Maculaura oregonensis; Maculaura cerebrosa,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Ordospora durforti (= Endoreticulatus durforti),Artemia sp.,the Artemia,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
