title_abstract,species,spore_shape,spore_shape_formatted,shapes_not_in_text,shapes_not_in_text_corrected
"A New Microsporidium,Nosema cristatellaen. sp. in the Bryozoan Cristatella mucedo (Bryozoa, Phylactolaemata). A microsporidian infecting cells of the body wall of the phylactolaemate bryozoanCristatella mucedois described. All stages of the parasite are diplokaryotic and lie in direct contact with the host cell cytoplasm. Sporogony is probably disporoblastic. Spores measure 7.5 × 5.1 μm and have 22-32 coils of the polar tube arranged in several rows and a bell-like polaroplast of compact membranes. The parasite is assigned to the genusNosemaas a new species,Nosema cristatellae.It is differentiated from the previously described parasites ofAlcyonella(=Plumatella)fungosa(Bryozoa), named Myxosporidium bryozoides and Nosema bryozoides, by spore characters and tissue specificity. Although it was found in a different species of bryozoan, it is not known whether N. cristatellaeis infective to P. Fungosa",Nosema cristatellae (Pseudonosema cristatellae),pyriform,['pyriform'],{'pyriform'},
"A New Pathogen, Microsporidium itiiti n. sp. (Microsporida), from the Argentine Stem Weevil, Listronotus bonariensis (Coleoptera, Curculionidae). A new species of microsporidium (phylum Microspora) infecting the Argentine stem weevil, Listronotus bonariensis (Kuschel, 1955), is described on the basis of light and electron microscope observations. It has the following characteristics: nuclei always isolated meronts spherical and sporonts ribbon-shaped, with variable numbers of nuclei; sporogony within a vacuole which is bounded by a thin membrane that usually breaks down before uninucleate spores mature; occasionally parts of the membrane remain so that clusters of variable numbers of spores may be seen in light microscopic preparations. Spores measure 2.5 x 1.4 um (fresh) and development occurs mainly in the midgut, but also in the epidermis, fat body, muscle, and ovaries.",Microsporidium itiiti (Endoreticulatus itiiti) (1),ovoid,['ovoid'],{'ovoid'},
"A New Species of Perezia (Microsporida: Pereziidae) from the Argentine Grasshopper Dichroplus Elongatus (Orthoptera: Acrididae). The new microsporidium (Microsporida: Pereziidae), Perezia dichroplusae n. sp., infects the epithelial cells of the Malpighian tubules of the Argentine grasshopper Dichroplus elongatus. Characteristics of the pathogen include the following: development in direct contact with the host cell cytoplasm; bi-, tetra-, and sometimes multinucleate diplokaryotic meronts, rounded or elongate in shape; unikaryotic sporonts and sporogonial plasmodia, elongate in shape; sporoblasts and spores uninucleated; spores highly variable in size (1.6–6.7 by 1.0–2.7 μm, x̄= 3.5 ± 0.09 by 1.5 ± 0.02, n = 100) with eight or fewer polar tube coils and showing a posterior electron-dense inclusion body.",Perezia dichroplusae (Liebermannia dichroplusae),ovocylindrical,['ovocylindrical'],{'ovocylindrical'},
"A Nosema-type microsporidian in Ectomyelois ceratoniae (Lepidoptera: Pyralidae). Light and electron microscopy observations were conducted on a microsporidium (Protozoa: Microspora) detected in the Malpighian tubules of Ectomyelois ceratoniae from Tupungato, Mendoza Province, Argentina. The characteristics showed by the pathogen (monomorphic, diplokaryotic, apansporoblastic) allowed its placement in the genus Nosema. Unusually elongated sporoblasts appeared to be a particular attribute of the pathogen. Experimentally induced infections will be necessary to find out if other differential characters are present. The finding represents only the second report of microsporidia in argentine Lepidoptera.",Nosema sp. 32,ovocylindrical,['ovocylindrical'],{'ovocylindrical'},
"A Trachipleistophora-like microsporidium of man: Its dimorphic nature and relationship to Thelohania apodemi. The structure of the human microsporidium found by Yachnis and colleagues in two AIDS patients (Am. J. Clin. Pathol. 106: 535-43, 1996) (hereafter referred to as HMY) was investigated by light and transmission electron microscopy and compared with Thelohania apodemi Doby, Jeannes et Raoult, 1963, a microsporidian of small rodents. The fine structure of the HMY was found to be similar to that of Trachipleistophora hominis Hollister, Canning, Weldner, Field, Kench et Marriott, 1996. Characteristic is the presence of a thick layer of electron dense material on the outer face of the meront plasmalemma, which is maintained during the whole life cycle and which later persists as an electron dense coat on the sporophorous vesicle (SPOV). However, HMY is distinguished from T. hominis during sporogony, as two types of SPOV and spores are formed in HMY. One type of SPOV contains thick-walled spores (usually 8 or more in number) with anisofilar polar filaments of 7 + 2 pattern, while the other type contains only two thin-walled spores with a smaller number (3-5) of isofilar polar filament coils. The HMY differs from T. apodemi which also forms SPOV with 8 spores inside, but the spores of which are larger in size and have 9 + 2 polar filament pattern.",Trachipleistophora sp.,oval (type 1); slightly pyriform (type 1); spherical (type 2),"['oval', 'slightly pyriform', 'spherical']","{'oval', 'spherical', 'slightly pyriform'}",
"A hyperparasitic microsporidian infecting the salmon louse, Lepeophtheirus salmonis: an rDNA-based molecular phylogenetic study. The sea louse, Lepeophtheirus salmonis, is an obligate ectoparasitic copepod that lives on the external surface of salmonid fish. It is the most common ectoparasite of marine cage-reared salmonids, causing major economic loss to the aquaculture industry. During a sea louse monitoring programme, samples of L. salmonis were found to harbour an unreported microsporidian parasite. The microsporidian was observed in pre-adult and adult stages of both male and female copepods, with a prevalence of up to 5%. Unfixed spores were slightly pyriform in shape measuring 2.34 μm by 1.83 μm (±0.01 μm) and were not observed to be enclosed by a sporophorous vesicle. The microsporidian infection was observed in all areas of the copepods’ body, xenoma-like cysts forming directly under the cuticle in the epidermal tissue layer. In the present study, rDNA (530f–580r) sequence data gathered from the unidentified microsporidian parasite isolated from infected sea lice were compared with equivalents available in the databases in an attempt to identify its systematic position. The microsporidian was found to group within the phylogenetic clade containing the family Enterocytozoonidae, being most similar to members of the intranuclear genus Nucleospora. This is the first report of a hyperparasitic microsporidian infecting a caligid copepod.",Desmozoon lepeophtherii (also Paranucleospora theridion) (1),"spherical (c1, c3);
ellipsoid (c2)","['spherical', 'ellipsoid']","{'spherical', 'ellipsoid'}",pyriform
"A light and electron microscopic study of Larssoniella resinellae n. gen., n. sp. (Microspora, Unikaryonidae), a Parasite of Petrova resinella (Lepidoptera, Tortricidae) in Central Europe. Larssoniella n. gen. (Microspora, Unikaryonidae) is characterized by uninucleate stages with a tuft of tubules arising in the cuticle of sporoblasts and in the posterior pole of the young spore in its exospore. L resinellae n. sp., the type species, has sporoblasts and spores with distinct tubular tufts. Mature spores are smooth, tubular (4.5-5×1.7-2 urn), uninucleate, with polar filament in 10/11 coils. It infects the silk glands, Malpighian tubules, the fat body and gonads of larvae and adults of the Pine resin gall moth, Petrova resinella.",Larssoniella resinellae,tubular; long oval,"['tubular', 'long oval']",{'long oval'},
"A microsporidian previously undescribed in homo sapiens, infecting enterocytes and macrophages, and associated with diarrhea in an acquired immunodeficiency syndrome patient. To date, the only microsporidian that has been associated with diarrhea and weight loss in acquired immunodeficiency syndrome patients is the newly identified Enterocytozoon bieneusi. A second species is now described that was associated with intestinal symptoms in a 32-year-old, human immunodeficiency virus-seropositive, Native American male homosexual. Stool studies and routine light microscopy of multiple small intestinal biopsies that showed atrophy with acute and chronic inilammation were without apparent patho- gens. Light microscopy of semi-thin plastic sections, cytochemical stains of paraffin sections, and ultrastructural studies revealed extensive microsporidial infection of enterocytes and submucosal macrophages. No other pathogens were identified. Unlike E bieneuri, this microsporidian appeared to develop within septated parasitophorous vacuoles, and lacked polar disks and clear clefts. It most closely resembled, but was distinguishable from, members of the genus Encephalitozoon. Awareness of the microsporidia as potential opportunists in acquired immunodeficiency syndrome patients is increasing the incidence of identification of these organisms.",Encephalitozoon sp. 7,ellpitical,['ellpitical'],{'ellpitical'},
"A microsporidium, Nosema pilicornis sp. n., of the purslane sawfly, Schizocerella pilicornis. A new microsporidian species, Nosema pilicornis, which infects the purslane sawfly, Schizocerella pilicornis, is described. This microsporidium infects most body tissues of the host. N. pilicornis was compared to other microsporidian species infecting Hymenoptera and to a group of similar microsporidia infecting Lepidoptera. N. pilicornis could be distinguished from all other microsporidian species on the basis of host range and ultrastructural characteristics of the spore. Spores were oval, containing 11 to 12 polar filament coils, and the polar filament had an angle of tilt of about 80°. N. pilicornis infected lepidopteran larvae, but only when heavy spore dosages were fed to early larval instars. S. pilicornis is a good but sporadic biological control agent of common purslane, Portulaca oleracea, a pernicious weed of vegetable, ornamental, and orchard crops. N. pilicornis, which is transovarially transmitted and causes high mortality in infected larvae, affects the performance of S. pilicornis as a biological control agent.",Nosema pilicornis,oval; ovocylindrical,"['oval', 'ovocylindrical']",{'ovocylindrical'},
"A new encephalitozoon species (microsporidia) isolated from the lubber grasshopper, romalea microptera (Beauvois) (Orthoptera: Romaleidae). We describe a new microsporidian species, Encephalitozoon romaleae n. sp., isolated from an invertebrate host, the grasshopper Romalea microptera, collected near Weeks Island, Louisiana, and Jacksonville, Florida. This microsporidian is characterized by specificity to the gastric caecae and midgut tissues of the host and a life cycle that is nearly identical to that of Encephalitozoon hellem and Encephalitozoon cuniculi. Mature spores are larger (3.97 × 1.95 μm) than those of other Encephalitozoon species. Polar filament coils number 7 to 8 in a single row. Analysis of the small subunit (SSU) rDNA shows that E. romaleae fits well into the Encephalitozoon group and is a sister taxon to E. hellem. This is the first Encephalitozoon species that has been shown to complete its life cycle in an invertebrate host. © 2009 American Society of Parasitologists.",Encephalitozoon romaleae,ovocylindrical,['ovocylindrical'],{'ovocylindrical'},
"A new genus of microsporidans Cristulospora gen. n. (Amblyospiridae) with 3 new species from blood-sucking mosquitoes in Uzbekistan. Three new species of microsporidans of the new genus Cristulospora are described from mosquitoes of the genera Culex and Aedes (floodlands of the Syr Darya, Syrdarya Province, Bukharskiĭ oasis). In mosquitoes microsporidans have sporogony of two types that is characteristic of the family Amblyosporidae. The development in larvae ends in the formation of 8 uninucleate spores in pansporoblasts. In females single binucleate spores are formed. The new genus differs from other amblyosporids in the presence of appendages in shape of magnificent plumes on both poles of octospores, which are distinct without staining. C. sherbani sp. n. from Culex modestus forms spores measuring 5.0-8.1 X 4.3-5.6 microns in larvae. During the fixation the poles become flattened, plumes are equal, most of them having wide bases. In genital ducts of females oval cylindrical thin-walled spores of 6.3-8.7 X 2.5-3.7 microns are formed. C. cadyrovi sp. n. from Culex pipiens forms spores of 5.6-6.8 X 3.7-5.0 microns in larvae. After the fixation the poles do not become flattened, plumes are equal, with narrow base. The second type of spores has not been discovered. C. aedis sp. n. from Aedes caspius has spores of 6.2-7.5 X 4.3-5.6 microns in larvae. Plumes with narrow base, the anterior and posterior ones are different in shape. In genital ducts of females thin-walled spores of 8.7-11.8 X 3.7-5.0 microns are formed.",Cristulospora aedis; Cristulospora cadyrovi; Cristulospora sherbani,C-shaped (type 1); oval (type 2) || ovoid || oval-cylindrical (type 1); oval (type 2),"['c-shaped', 'oval', 'ovoid', 'oval-cylindrical', 'oval']","{'oval-cylindrical', 'ovoid', 'c-shaped'}",cylindrical
"A new lineage of crayfish-infecting Microsporidia: The Cambaraspora floridanus n. gen. n. sp. (Glugeida: Glugeidae) complex from Floridian freshwaters (USA). Crayfish are a vital ecological asset in their native range but can be highly damaging as invasive species. Knowledge of their diseases, including high levels of research on Aphanomyces astaci (crayfish plague), show that disease plays a vital role during crayfish invasions. Microsporidian diseases in crayfish are less studied but are thought to have important links to crayfish health and invasion dynamics. In this study we provide a systematic description of a novel microsporidian parasite from the Floridian crayfish, Procambarus paeninsulanus, with additional genetic identification from related Microsporidia from Procambarus fallax, Cambarellus shufeldtii and Cambarellus blacki. This novel microsporidium from P. paeninsulanus is described in a new genus, Cambaraspora, and species, Cambaraspora floridanus, and represents a novel member of the Clade V Microsporidia within the Glugeidae. The parasite develops in the muscle tissue of P. paeninsulanus, within a sporophorous vesicle, and produces a spore with 19-21 turns of the polar filament measuring 6.136 ± 0.84 µm in length and 2.12 ± 0.23 µm in width. The muscle-infecting nature of the parasite suggests that it is horizontally transmitted. Genetic data for the 18S of the parasite from all hosts confirms its assignment to Clade V and reveal it to be a relative of multiple fish-infecting parasites. It shows closest genetic relationship to Glugea plecoglossi, but branches alongside multiple microsporidia from fish, crustaceans and eDNA isolates. The information presented here suggests that this novel parasite may have the potential to infect piscine hosts and is a likely mortality driver in the P. paeninsulanus population. Its potential as a control agent or wildlife disease invasion threat is explored, as well as the placement of this novel microsporidium within the Glugeidae.",Cambaraspora floridanus,cucumiform,['cucumiform'],{'cucumiform'},
"A new microsporidian parasite record of Phyllotreta undulata (Chrysomelidae, Coleoptera). A new microsporidian parasite of Phyllotreta undulata was recorded in Turkey. Fresh are oval, 3.85 ± 0.69 μm (2.0-4.75) in length and 2.04 ± 0.23 μm (1.90-2.40) in width (n = 50). The spores are uninucleated. As there were insufficient data available on the complete life cycle of the parasite, it could not be identified at species level. © TÜBİTAK.",Unikaryon phyllotretae (1),spherical; oval (c1);  elongated (c2),"['spherical', 'oval', 'elongated']","{'spherical', 'elongated'}",
"A new microsporidian parasite, Flabelliforma montana n.g., n.sp., infecting Phlebotomus ariasi (Diptera, Psychodidae) in France. Flabelliforma montana, a new microsporidian genus and species, is described from the sandfly Phlebotomus ariasi. The parasite was found in sandflies collected in the commune of Roquedur, Gard, France, and represents the first microsporidium recorded from Old World sandflies. Meronts lie in direct contact with the host cell cytoplasm and divide by binary fission or plasmotomy. Sporogonial plasmodia divide by multiple fission within a sporophorous vesicle, passing through a lobed fan-like stage before division into uninucleate sporoblasts. All stages have unpaired nuclei. Transmission is direct. Flabelliforma is one of nine genera of microsporidia with multisporous sporogony, all but one of which are currently considered to belong to one family, Pleistophoridae, but in reality are not closely related. The characters which differentiate Flabelliforma from the other multisporous genera are discussed and a key is provided for identification of the genera.",Flabelliforma montana,broadly ovoid,['broadly ovoid'],{'broadly ovoid'},
"A new microsporidian species, Vairimorpha ocinarae n. sp., isolated from Ocinara lida Moore (Lepidoptera: Bombycidae) in Taiwan. Abstract A new microsporidium was isolated from Ocinara lida Moore (Lepidoptera: Bombycidae), a pest of Ficus microcarpa L. f. in Taiwan. The microsporidium produces systemic infections in O. lida larvae; the midgut epithelium, Malpighian tubules, and midgut muscle tissues were the target tissues for this isolate, and atrophied fat body tissues were found in heavily infected larvae. Two types of spores were observed, diplokaroytic spores with 11–13 coils of polar tube, and monokaryotic spores with 12 coils of the polar tube that developed within a sporophorous vesicle to form octospores. Electron-dense granules were abundant in the episporontal space of the sporophorous vesicles, and were similar to those of Vairimorpha invictae isolated from Solenopsis invicta, but different from granules or inclusions of other Vairimorpha species. Based on the phylogenetic analysis of the small subunit ribosomal DNA sequence, this isolate is unique within the Vairimorpha complex. Morphological and genetic characters showed this isolate to be a new species. It is placed in the genus Vairimorpha and is described as Vairimorpha ocinarae n. sp.",Vairimorpha ocinarae,elongated oval (c1),['elongated oval'],{'elongated oval'},
"A new microsporidium Fibrillaspora daphniae g. n. sp. n. infecting Daphnia magna (Crustacea: Cladocera) in Siberia and its taxonomic placing within a new family Fibrillasporidae and new superfamily Tubulinosematoidea (Opisthosporidia: Microsporidia). Infection with a new microsporidium, Fibrillaspora daphniae g. n. sp. n., was found in a local Daphnia magna population in Tomsk region (Western Siberia, Russia) at the prevalence rate of 52%. Histological sections showed parasite cells entirely encompassing the host haemocoel. Methanol-fixed spores were elongate, oval, 4.8 ± 0.3 μm × 2.3 ± 0.2 μm in size. All developmental stages were in direct contact with the host cell cytoplasm, with single nuclei, and division by binary fission. The sporont surface was covered with an additional outer layer composed of fine tubules. The spores possessed a thick endospore, large posterior vacuole filled with electron-dense granules, and a bipartite polaroplast composed of anterior lamellar and posterior globular elements. The polar tube was slightly anisofilar, with 13–19 coils arranged in one row; the two posterior coils were of lesser diameter. The small subunit ribosomal RNA gene sequence was deposited in Genbank under accession # MF278272. Considering the sister relationship between Fibrillanosema crangonycis and our new isolate described here as Fibrillaspora daphniae, we propose a new family Fibrillasporidae fam. n. to contain these two genera and the descendants of their common ancestor. A new superfamily Tubulinosematoidea superfam. n. is proposed as a monophyletic assemblage of Fibrillasporidae fam. n. and Tubulinosematidae.",Fibrillaspora daphniae (1),elongate oval,['elongate oval'],{'elongate oval'},elongate; oval
"A new microsporidium Percutemincola moriokae gen. nov., sp. nov. from Oscheius tipulae: A novel model of microsporidia–nematode associations. Here, we describe a new microsporidium Percutemincola moriokae gen. nov., sp. nov., which was discovered in the intestinal and hypodermal cells of a wild strain of the nematode Oscheius tipulae that inhabits in the soil of Morioka, Iwate Prefecture, Japan. The spores of Pe. moriokae had an average size of 1.0 × 3.8 µm and 1.3 × 3.2 µm in the intestine and hypodermis, respectively, and electron microscopy revealed that they exhibited distinguishing features with morphological diversity in the hypodermis. Isolated spores were able to infect a reference strain of O. tipulae (CEW1) through horizontal transmission but not the nematode Caenorhabditis elegans. Upon infection, the spores were first observed in the hypodermis and then in the intestine the following day, suggesting a unique infectious route among nematode-infective microsporidia. Molecular phylogenetic analysis grouped this new species with the recently identified nematode-infective parasites Enteropsectra and Pancytospora forming a monophyletic sister clade to Orthosomella in clade IV, which also includes human pathogens such as Enterocytozoon and Vittaforma. We believe that this newly discovered species and its host could have application as a new model in microsporidia–nematode association studies.",Percutemincola moriokae,rod-shaped,['rod-shaped'],{'rod-shaped'},
"A new microsporidium, Potaspora macrobrachium n.sp. infecting the musculature of pond-reared oriental river prawn Macrobrachium nipponense (Decapoda: Palaemonidae). This paper described a novel microsporidian infection in the pond-reared oriental river prawn Macrobrachium nipponense. A conspicuous symptom of the infection was progressive white opacity associated with the musculature. Although neither bacteria nor viruses were detected in routine diagnostic tests, apparently degenerated microsporidian cells or spores were frequently observed in wet smears of the musculature from diseased prawns. Histological observations also revealed characteristics typical of microsporidian infection throughout the host. Transmission electron microscopy revealed multiple life stages of a microsporidian parasite within the cytoplasm of host muscle cells. In addition, partial small subunit ribosomal RNA (SSU rRNA) gene was obtained by a nested PCR using microsporidian specific primers. A consensus sequence was then deposited in GenBank (accession no. KU307278) and subjected to a general BLASTn search that yielded hits only for microsporidian sequence records. Phylogenetic analysis showed that the isolate was most similar to the fish microsporidian clade containing the genera Kabatana, Microgemma, Potaspora, Spraguea, and Teramicra. The highest sequence identity, 87%, was with Potaspora spp. Based on histological, ultrastructure and molecular phylogenetic data, we erected a new species, Potaspora macrobrachium for the novel microsporidium. The description of microsporidium in this important commercial host was fundamental for future consideration of factors affecting stock health and sustainability.",Potaspora macrobrachium,oval,['oval'],{'oval'},
"A new microsporidium, Vairimorpha subcoccinellae n. sp. (Microsporidia: Burenellidae), isolated from Subcoccinella vigintiquatuorpunctata L. (Coleoptera: Coccinellidae). A new microsporidium was isolated from Subcoccinella vigintiquatuorpunctata L. (Coleoptera: Coccinellidae), a pest of Galega officinalis L. in Turkey. Infection in larval and adult stages was systemic with mature spores produced in the midgut, gonads, Malpighian tubules and, most extensively, fat body tissues. The microsporidium was polymorphic with two sporulation sequences producing two types of spores, binucleate spores with 13–15 coils of the polar tube, and uninucleate spores with 7 coils of the polar tube that developed within a sporophorous vesicle (SPV) to form meiospores. The 16S small subunit rRNA (SSU rRNA) gene of the microsporidium was sequenced and compared with twenty-seven microsporidian sequences from GenBank. Based on the phylogenetic analysis of the SSU rRNA sequence, this microsporidium is unique within the Vairimorpha group. Morphological and genetic characters indicate that the described microsporidium is dissimilar to all known Vairimorpha species, and so is named here as Vairimorpha subcoccinellae n. sp.",Vairimorpha subcoccinellae,ovocylindrical (1); ovoid (2),"['ovocylindrical', 'ovoid']","{'ovocylindrical', 'ovoid'}",
"Alloglugea bufonis nov. gen., nov. sp. (Microsporea:Glugeidae), a microsporidian of Bufo marinus tadpoles and metamorphosing toads (Amphibia:Anura) from Amazonian Brazil. A microsporidian infection, due to Alloglugea bufonis nov. gen., nov. sp., is described in the tadpoles and newly metamorphosed toads of Bufo marinus from a lake near Belem, Para, north Brazil. Xenomas occur either singly in the lamina propria of the intestine, or aggregated into cystic bodies of up to 0.2 mm diameter, which emerge above the intestine surface. The xenoma is bounded by a folded plasmalemma with pinocytotic depressions, and there is a central, enlarged nucleus. Plasmodial stages and elongate meronts differentiate ~ n t o ribbon-shaped sporonts and single-nucleated sporo- blasts. The spore cytoplasm is invaginated at the posterior end. Spores escape from the mature xeno- mas into reticuloendothelial cells of the liver, spleen and kidneys of the tadpoles and newly metamorphosed toads, but infection is gradually lost after metamorphosis.",Alloglugea bufonis,oval,['oval'],{'oval'},
