species,title_abstract,hosts,infection_site,infection_site_corrected,hosts_corrected,species_corrected
Amblyospora rugosa,"Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia. Microsporidia of the genus Amblyospora parasiting the adipose body of mosquito larvae of the genus Aedes and Culex has been studied with both light and electron microscopy. Six new species of microsporidia are described based on ultrastructural characteristics of spores and sporogony stages. Amblyospora flavescens sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 165 nm. Exospore is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, large vesicular, lamellar. The anisofilar polar filament with 10-11 coils (3 1/2 + 21/2 + 4-5). Fixed spores are 6.310.1 × 4.24 ± 0.1 μm. Amblyospora kolarovi sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 265-315 nm. Exospore shapes tucks on the surface of spore. It is two-membranous. Subexospore is quagge, structural. Endospore is electron-translucent. Polaroplast consists of two parts: lamellar and large vesicular. The anisofilar polar filament with 11-13 coils (3 + 8-10). Fixed spores are 5.4-5.6 × 3.5-4.2 μm. Amblyospora orbiculata sp. n. Mature spores are widely egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 155 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, vesicular, lamellar. Polar filament is anisofilar, with 11 1/2 coils (4 1/2 + 1 + 6). Fixed spores are 6.3 ± 0.1 × × 4.0 + 0.1 μm. Amblyospora rugosa sp. n. Mature spores are egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 225 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 17 1/2 coils (3 1/2 + 1 + 13). Fixed spores are 5.3 ± 0.1 × 3.7 ± 0.1 μm. Amblyospora undata sp. n. Mature spores are egg-shaped. The spore wall is three-layered, about 220 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamel-late. The anisofilar polar filament with 8 coils (3 + 5). Fixed spores are 5.0 ± 0.1 × 3.0 ± ± 0.1 μm. Amblyospora urski sp. n. Mature spores have widely oval form. The back pole is concave. The spore wall with three layers, about 280 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 6 coils (2 + 4). Fixed spores are 4.4 ± 0.1 × 2.9 ± 0.1 μm.",Aedes sp.; Culex sp.,adipose,NA,,
Amblyospora salinarian,"Amblyospora salinarian. sp. (Microsporidia: Amblyosporidae), Parasite of Culex salinarius (Diptera: Culicidae): Its Life Cycle Stages in an Intermediate Host. Horizontal transmission testing with an Amblyospora species from the mosquito Culex salinarius has documented the involvement of a copepod intermediate host. Meiospores (one type of uninucleate spore) of the Amblyospora sp. were infectious per os to female Macrocyclops albidus adults. All developmental stages in the copepod had unpaired nuclei (were haplophasic), starting with the sporoplasms from the meiospore, continuing as a succession of schizonts undergoing binary division and ending with sporulation, producing a second type of uninucleate spore. These spores, formed in the ovaries of M. albidus,were lanceolate, slightly curved and measured 13.23 × 3.85 μm. They infected C. salinarius larvae, both male and female, when ingested. In addition, cross-infectivity testing was conducted and demonstrated that while A. californica from C. tarsalis will infect C. salinarius,it does not complete its life cycle in this host. Based on these findings, we conclude that Amblyospora sp. from Culex salinariusis a distinct species and assign it the name Amblyospora salinarian. Sp",Culex salinarius; Macrocyclops albidus,oenocytes (of adult female and male larva); ovary (of adult female and M albidus); adipose tissue (of male larva),ovaries (Macrocyclops albidus),Culex salinarius; Macrocyclops albidus,
Amblyospora stimuli,"Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes. The ultrastructure of meiospores of six different species of Amblyospora found infecting larval mosquitoes of Aedes abserratus, Aedes aurifer, Aedes cinereus, Aedes excruciates, Aedes sticticus, and Aedes stimulans are described. Meiospores of all species exhibited characteristics typical for the genus Amblyospora including: a single nucleus, a large posterior vacuole, a thick undulating exospore and thinner endospore, a bipartite and lamellate polaroplast with more tightly stacked membranes in the proximal region, and an anisofilar polar filament with distal coils reduced in thickness. Distinct differences were found in the arrangement and number/ ratio of coils formed by the broad basal and narrow distal portions of the polar filament. These differences, when quantified and averaged, were unique from all other mosquito‐parasitic species that have been examined ultrastructurally. Information on parasite development, natural field prevalence and transmission to suspected intermediate copepod hosts is presented. The creation of six new species, Amblyospora abserrati, Amblyospora auriferi, Amblyospora cinerei, Amblyospora excrucii, Amblyospora stictici, and Amblyospora stimuli is proposed. Synonymies and complete host lists of all forms and species of Amblyospora described from mosquitoes are given",Aedes stimulans; Diacyclops bicuspidatus thomasi,fat body,NA,Aedes stimulans,
Amblyospora undata,"Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia. Microsporidia of the genus Amblyospora parasiting the adipose body of mosquito larvae of the genus Aedes and Culex has been studied with both light and electron microscopy. Six new species of microsporidia are described based on ultrastructural characteristics of spores and sporogony stages. Amblyospora flavescens sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 165 nm. Exospore is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, large vesicular, lamellar. The anisofilar polar filament with 10-11 coils (3 1/2 + 21/2 + 4-5). Fixed spores are 6.310.1 × 4.24 ± 0.1 μm. Amblyospora kolarovi sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 265-315 nm. Exospore shapes tucks on the surface of spore. It is two-membranous. Subexospore is quagge, structural. Endospore is electron-translucent. Polaroplast consists of two parts: lamellar and large vesicular. The anisofilar polar filament with 11-13 coils (3 + 8-10). Fixed spores are 5.4-5.6 × 3.5-4.2 μm. Amblyospora orbiculata sp. n. Mature spores are widely egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 155 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, vesicular, lamellar. Polar filament is anisofilar, with 11 1/2 coils (4 1/2 + 1 + 6). Fixed spores are 6.3 ± 0.1 × × 4.0 + 0.1 μm. Amblyospora rugosa sp. n. Mature spores are egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 225 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 17 1/2 coils (3 1/2 + 1 + 13). Fixed spores are 5.3 ± 0.1 × 3.7 ± 0.1 μm. Amblyospora undata sp. n. Mature spores are egg-shaped. The spore wall is three-layered, about 220 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamel-late. The anisofilar polar filament with 8 coils (3 + 5). Fixed spores are 5.0 ± 0.1 × 3.0 ± ± 0.1 μm. Amblyospora urski sp. n. Mature spores have widely oval form. The back pole is concave. The spore wall with three layers, about 280 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 6 coils (2 + 4). Fixed spores are 4.4 ± 0.1 × 2.9 ± 0.1 μm.",Aedes sp.; Culex sp.,adipose,NA,,
Amblyospora urski,"Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia. Microsporidia of the genus Amblyospora parasiting the adipose body of mosquito larvae of the genus Aedes and Culex has been studied with both light and electron microscopy. Six new species of microsporidia are described based on ultrastructural characteristics of spores and sporogony stages. Amblyospora flavescens sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 165 nm. Exospore is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, large vesicular, lamellar. The anisofilar polar filament with 10-11 coils (3 1/2 + 21/2 + 4-5). Fixed spores are 6.310.1 × 4.24 ± 0.1 μm. Amblyospora kolarovi sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 265-315 nm. Exospore shapes tucks on the surface of spore. It is two-membranous. Subexospore is quagge, structural. Endospore is electron-translucent. Polaroplast consists of two parts: lamellar and large vesicular. The anisofilar polar filament with 11-13 coils (3 + 8-10). Fixed spores are 5.4-5.6 × 3.5-4.2 μm. Amblyospora orbiculata sp. n. Mature spores are widely egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 155 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, vesicular, lamellar. Polar filament is anisofilar, with 11 1/2 coils (4 1/2 + 1 + 6). Fixed spores are 6.3 ± 0.1 × × 4.0 + 0.1 μm. Amblyospora rugosa sp. n. Mature spores are egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 225 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 17 1/2 coils (3 1/2 + 1 + 13). Fixed spores are 5.3 ± 0.1 × 3.7 ± 0.1 μm. Amblyospora undata sp. n. Mature spores are egg-shaped. The spore wall is three-layered, about 220 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamel-late. The anisofilar polar filament with 8 coils (3 + 5). Fixed spores are 5.0 ± 0.1 × 3.0 ± ± 0.1 μm. Amblyospora urski sp. n. Mature spores have widely oval form. The back pole is concave. The spore wall with three layers, about 280 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 6 coils (2 + 4). Fixed spores are 4.4 ± 0.1 × 2.9 ± 0.1 μm.",Aedes sp.; Culex sp.,adipose,NA,,
Anncaliia meligethi,"Nosema meligethi I. & R. (Microsporida) in populations of meligethes spp. in Europe. Samples of rape blossom beetles, Meligethes spp., from 12 countries in Eastern and Western Europe were inspected for the occurrence of Nosema meligethi L & R. infection. From most countries about a dozen samples and a few hundred beetles were inspected. A total of 13 910 individual beetles were checked under a compound microscope, and of these, 561 were found to be infected (4.03%). Despite careful examination, infection was not detectable in samples from the UK (1039 beetles inspected), Germany (694), Sweden (489), or Switzerland (280). One infected beetle was found among 444 beetles inspected from Austria, and one from Denmark (1/85). In contrast, the parasite was found rather regularly in samples from Finland and from Eastern European countries. No obvious reason for this pattern of infection is known, but pesticide usage at or close to the sampling sites may play a role, because most samples from which Nosema was detected originated from areas where few pesticides are used. Spore size measurements were made from seven N. meligethi isolates, and they appeared relatively uniform. It appears that artificial spread of the disease might be worthwhile in an effort towards the integrated control of M. aeneus F.",Meligethes aenus; Pieris brassicae,"fat body (of Meligethes aenus); muscles (of Meligethes aenus, rarely)",NA,Meligethes spp.,
Anostracospora rigaudi,"Cytological, molecular and life cycle characterization of Anostracospora rigaudi n. g., n. sp. and Enterocytospora artemiae n. g., n. sp., two new microsporidian parasites infecting gut tissues of the brine shrimp Artemia. SUMMARY Two new microsporidia, Anostracospora rigaudi n. g., n. sp., and Enterocytospora artemiae n. g., n. sp. infecting the intestinal epithelium of Artemia parthenogenetica Bowen and Sterling, 1978 and Artemia franciscana Kellogg, 1906 in southern France are described. Molecular analyses revealed the two species belong to a clade of microsporidian parasites that preferentially infect the intestinal epithelium of insect and crustacean hosts. These parasites are morphologically distinguishable from other gut microsporidia infecting Artemia. All life cycle stages have isolated nuclei. Fixed spores measure 1·3×0·7 μm with 5–6 polar tube coils for A. rigaudi and 1·2×0·9 μm with 4 polar tube coils for E. artemiae. Transmission of both species is horizontal, most likely through the ingestion of spores released with the faeces of infected hosts. The minute size of these species, together with their intestinal localization, makes their detection and identification difficult. We developed two species-specific molecular markers allowing each type of infection to be detected within 3–6 days post-inoculation. Using these markers, we show that the prevalence of these microsporidia ranges from 20% to 75% in natural populations. Hence, this study illustrates the usefulness of molecular approaches to study prevalent, but cryptic, infections involving microsporidian parasites of gut tissues.",Artemia franciscana; Artemia parthenogenetica,intestinal epithelium (Artemia franciscana); intestinal epithelium (Artemia parthenogenetica); gut tissues (brine shrimp),intestinal epithelium (Artemia franciscana); intestinal epithelium (Artemia parthenogenetica); gut tissues (brine shrimp),Artemia franciscana; Artemia parthenogenetica; brine shrimp,
Antonospora psocopterae,"New microsporidia parasitizing bark lice (Insecta: Psocoptera). Abstract Two species of bark lice, Xanthocaecilius sommermanae Mockford and Polypsocus corruptus Hagen, collected in a canopy Malaise trap placed in Great Smoky Mountains National Park as part of a survey of the park’s fauna, were found to be infected with microsporidia. Diagnosis was originally based on light microscopy, and was confirmed by PCR amplification and electron microscopy. This is the first record of microsporidia infection in the insect order Psocoptera. Four morphological spore types corresponded to four original SSUrDNA sequences (Genbank accession no. FJ865221-24), suggesting infection with four microsporidia species. Two of those species were examined by electron microscopy. We describe here one new genus and two new species based on morphological and sequence data: Antonospora psocopterae sp. n. with elongated diplokaryotic spores, 4.4±0.05×1.9±0.03μm and Mockfordia xanthocaeciliae gen. n. sp. n. with ovocylindrical monokaryotic spores, 2.5±0.10×1.4±0.02μm. A. psocopterae displayed high sequence (95%) and structural similarity with Antonospora scoticae, fell within a well supported dichotomy with A. scoticae inside the Antonospora–Paranosema clade in phylogenetic analyses by NJ, PS and ML. M. xanthocaeciliae did not exhibit much sequence or structural similarity with any of known microsporidia species, except Encephalitozoon spp. M. xanthocaeciliae fell within one clade with Encephalitozoon spp. in phylogenies and shared with encephalitozoons structural resemblance and about 80% of SSUrDNA sequence identity. The other two species were not described and provisionally were placed to the collective genus Microsporidium as Microsporidium sp. 1 and Microsporidium sp. 4 from bark lice because of insufficient morphological data. The finding that samples fixed and stored for months in propylene glycol (“antifreeze”) are good enough for DNA sequence analysis and can be used for morphological analyses (if no better fixation alternatives are available), is promising for future surveys for microsporidia.",Xanthocaecilius sommermanae; Polypsocus corruptus,Adipose,NA,Xanthocaecilius sommermanae; Polypsocus corruptus,
Brachiola gambiae,"Brachiola gambiae sp. n. the Microsporidian Parasite of Anopheles gambiae and A. melas in Liberia. Brachiola gambiae sp. n., former Nosema cf. stegomyiae, infected natural and insectary colonies of Anopheles gambiae and A. melas in Liberia and reduced susceptivity of the mosquito to development of malaria parasites and their transmission to man. It infects most tissues of adult male and female mosquitoes, destroying the midgut, Malpighian tubules, the fat body, muscles, hypoderm and connective tissues. It is usually transmitted with feces released by mosquitoes during feeding on cotton swabs with honey water. In sporogony the oval binucleate spores, 2.5-3 x 1.5-2 μm, have an anisofilar polar filament coiled in 9 coils in one row. Five anterior coils are of larger diameter than the posterior three to four. Macrospores 3-4 x 2 μm form a low percentage of mature spores (1:30). Tubulovesicular secretions are present.",Anopheles gambiae; Anopheles melas,intestinal; Malphigian; adipose; muscle; hyopdermal; connective,Midgut; Malpighian tubules; fat body; muscles; hypoderm; connective tissues,Anopheles gambiae; A. melas,
Burenella dimorpha,"New Family, Genus, and Species of Microsporida (Protozoa: Microsporida) from the Tropical Fire Ant, Solenopsis geminata (Fabricius) (Insecta: Formicidae)*. A new species of Microsporida, Burenella dimorpha sp. n., representing a new family, Burenellidae fam. n. and genus, is described on the basis of light‐ and electron‐microscope observations. The family is characterized by 2 sequences of sporogony, each sequence having morphologically different sporonts and spores. The parasite infects the tropical fire ant, Solenopsis geminata (Fabricius), producing distinct pathologic manifestations (clearing of the cuticle and eye malformation) and death in the pupal stage of development. Transmission of the infection per os to healthy S. geminata, to the Southern fire ant, Solenopsis xyloni McCook, and to the red and black imported fire ants, Solenopsis invicta Buren and Solenopsis richteri Forel, is reported.",Solenopsis geminata; Solenopsis xyloni; Solenopsis invicta; Solenopsis richteri,hypodermis (NMB spores); adipose tissue (MB spores),NA,Solenopsis geminata; Solenopsis xyloni; Solenopsis invicta; Solenopsis richteri,
Caudospora palustris,"Molecular characterization and taxonomy of a new species of Caudosporidae (Microsporidia) from black flies (Diptera: Simuliidae), with host-derived relationships of the North American caudosporids. A new species of microsporidium, Caudospora palustris (Microsporidia: Caudosporidae), is described from 3 species of black flies (Cnephia ornithophilia and diploid and triploid cytospecies of Stegopterna mutata), bringing to 7 the total species of caudosporids recorded from North America. This new species of caudosporid is recorded from swamp streams of the Coastal Plain from New Jersey to Georgia, with single records from the New Jersey mountains and the Upper Peninsula of Michigan. Densities of patently infected larvae (up to 10,600/m2) and spore production (nearly 8 x 1011/m2) are the greatest recorded for any microsporidium of black flies. The ultrastructure of this new species is presented, along with the first molecular characterization for a microsporidium of black flies. The phylogenetic position of black fly microsporidia within the phylum Microsporidia is presented; however, the analysis does not support the inclusion of C. palustris in any clade. Key features of all North American caudosporids are provided, and possible evolutionary trajectories are proposed based on optimization of caudosporid species on the phylogeny of their 22 known host species, including 16 that represent new host species records.",Cnephia ornithophilia; Stegopterna mutata,adipose,NA,Cnephia ornithophilia; Stegopterna mutata,
Cucumispora dikerogammari,"New data on microsporidium Nosema dikerogammari. Ultrastructures of the microsporidium Nosema dikerogammari, the parasite of amphipods Dikerogammaris villosus, Chaetogammarus ischnus, and Pontogammarus crassus in Ukraine, are described. The diplocaryotic meronts, sporonts and spores, the lamellar polaroplast, the isofilar polar filament puck up to 7-8 coils with different angles, are the characteristics of N. dikerogammari.",Dikerogammarus villosus; Dikerogammarus haemobaphes; Chaetogammarus ischnus; Pontogammarus crassus,"Primarily muscle cells (of Dikerogammarus villosus); somatic tissue (secondarily, of Dikerogammarus villosus); adipose tissue (secondarily, of Dikerogammarus villosus); haemolymph (of Dikerogammarus villosus); gonads (of Dikerogammarus villosus)",NA,Dikerogammarus villosus; Chaetogammarus ischnus; Pontogammarus crassus,Nosema dikerogammari
Desmozoon lepeophtherii,"A hyperparasitic microsporidian infecting the salmon louse, Lepeophtheirus salmonis: an rDNA-based molecular phylogenetic study. The sea louse, Lepeophtheirus salmonis, is an obligate ectoparasitic copepod that lives on the external surface of salmonid fish. It is the most common ectoparasite of marine cage-reared salmonids, causing major economic loss to the aquaculture industry. During a sea louse monitoring programme, samples of L. salmonis were found to harbour an unreported microsporidian parasite. The microsporidian was observed in pre-adult and adult stages of both male and female copepods, with a prevalence of up to 5%. Unfixed spores were slightly pyriform in shape measuring 2.34 μm by 1.83 μm (±0.01 μm) and were not observed to be enclosed by a sporophorous vesicle. The microsporidian infection was observed in all areas of the copepods’ body, xenoma-like cysts forming directly under the cuticle in the epidermal tissue layer. In the present study, rDNA (530f–580r) sequence data gathered from the unidentified microsporidian parasite isolated from infected sea lice were compared with equivalents available in the databases in an attempt to identify its systematic position. The microsporidian was found to group within the phylogenetic clade containing the family Enterocytozoonidae, being most similar to members of the intranuclear genus Nucleospora. This is the first report of a hyperparasitic microsporidian infecting a caligid copepod.",Lepeophtheirus salmonis; Salmo salar; Caligus elongatus; Oncorhynchus mykiss,"epithelium (1, 2); endothelium (2); connective (1); haemocytes (1)",cuticle; epidermal tissue layer,Lepeophtheirus salmonis,
Dictyocoela diporeiae,"Molecular and ultrastructural characterization of Dictyocoela diporeiae n. sp. (Microsporidia), a parasite of Diporeia spp. (Amphipoda, Gammaridea). Dictyocoela diporeiae n. sp. is described from Diporeia spp. (Amphipoda, Gammaridea) collected from Lake Superior (USA), and its morphology and taxonomic affiliation are discussed. In hematoxylin- and eosin-stained sections of infected amphipods, the microsporidian was observed to infect muscle tissue surrounding the ovaries. Melanized hemocytic encapsulations were often observed in or near masses of microsporidians. The microsporidians appeared as spores measuring 1.99 ± 0.09 μm long by 1.19 ± 0.05 μm wide. Each spore contained eight coils of isofilar polar filaments that were arranged in single ranks. Polar filaments measured 71 ± 3 nm in diameter. A prominent lamellar polaroplast composed of ordered concentric membranes was found at the apical end of the spore surrounding the polar filament. A distinct posterior vacuole was observed at the distal end of the spore. Phylogenetic analysis based on 16s RNA sequences showed that the microsporidian belongs to the genus Dictyocoela, and is most similar to D. berillonum, yet distinctly different. The species is new, based on its morphology, genetic sequence, host, and location within the host.",Diporeia sp.; Amphipoda; Gammaridea,Muscle surrounding ovaries,muscle tissue surrounding the ovaries,Diporeia spp.,
Dictyocoela roeselum,"Coexistence of three microsporidia parasites in populations of the freshwater amphipod Gammarus roeseli: evidence for vertical transmission and positive effect on reproduction. We investigated the prevalence, transmission mode and fitness effects of infections by obligatory intracellular, microsporidian parasites in the freshwater amphipod Gammarus roeseli. We found three different microsporidia species in this host, all using transovarial (vertical) transmission. All three coexist at different prevalences in two host populations, but bi-infected individuals were rarely found, suggesting no (or very little) horizontal transmission. It is predicted that vertically-transmitted parasites may exhibit sex-specific virulence in their hosts, or they may have either positive or neutral effects on host fitness. All three species differed in their transmission efficiency and infection intensity and our data suggest that these microsporidia exert sex-specific virulence by feminising male hosts. The patterns of infection we found exhibit convergent evolution with those of another amphipod host, Gammarus duebeni. Interestingly, we found that infected females breed earlier in the reproductive season than uninfected females. This is the first study, to our knowledge, to report a positive effect of microsporidian infection on female host reproduction.",Gammarus roeseli; Gammarus balcanicus; Gammarus fossarum,egg; ovarian (1),transovarial,Gammarus roeseli,
Duboscqia dengihilli,"Life cycle of a new species of Duboscqia (Microsporida: Thelohaniidae) infecting the mosquito Anopheles hilli and an intermediate copepod host, Apocyclops dengizicus. A new species of Microsporida, Duboscqia dengihilli, was found infecting larvae of the mosquito Anopheles hilli in northern Queensland, Australia. Laboratory experiments showed that binucleate spores formed within infected female mosquitoes were responsible for transovarial transmission to the next generation. Sporogony within the larval fat body was initiated by two diplokarya, one at each end of the cell, which undergo meiosis within a single sporophorous vesicle to form 16 meiospores. These spores are responsible for horizontal transmission to the copepod Apocyclops dengizicus. The microsporidium is transmitted back to the mosquito host via uninucleate pyriform spores formed within the copepod host which are infectious to larvae of A. hilli. The meronts within larvae infected by horizontal transmission ultimately develop into the binucleate spores within adult females to complete the life cycle. Thus, the development of this microsporidium involves vertical transmission between successive mosquito generations and horizontal transmission between mosquitoes and copepods similar to the life cycles of Amblyospora and Parathelohania.",Anopheles hilli; Apocyclops dengizicus,fat body (of Anopheles hilli larva); oenocytes (of Anopheles hilli adult female),transovarial (Anopheles hilli),Anopheles hilli; Apocyclops dengizicus,
Encephalitozoon hellem,"Isolation and characterization of a new human microsporidian, Encephalitozoon hellem (n. sp.), from three AIDS patients with keratoconjunctivitis. A new human microsporidian was isolated from cultures of Madin-Darby canine kidney cells incubated with conjunctival scrapings or corneal tissues from three AIDS patients with keratoconjunctivitis. The three isolates were morphologically similar to Encephalitozoon cuniculi. The spores averaged 1 x 1.5-2.0 microns, had six to eight polar filament coils, displayed monokaryotic nuclei, and possessed relatively thick endospores with irregularly shaped exospores. Organisms developed within a parasitophorous vacuole. By SDS-PAGE analysis, the three isolates appeared to be identical but were different from E. cuniculi. Identical banding patterns on Western blots of the three isolates were expressed by each patient's serum. By Western immunoblotting, murine antisera to E. cuniculi reacted to several antigens of the new AIDS-related microsporidian, whereas murine antisera bound weakly to Nosema corneum. The name Encephalitozoon hellem (n. sp.) is proposed to identify this new human microsporidian.",Homo sapiens; Melopsittacus undulatus; Eclectus roratus; Chalcopsitta scintillata,small intestine; liver (of Eclectus roratus); kidney (of Eclectus roratus); spleen (of of Eclectus roratus); lung (of Eclectus roratus); heart (of of Eclectus roratus); ventriculus (of Eclectus roratus); skeletal muscles (of Eclectus roratus); brain (of Eclectus roratus); eye cornea (of Homo sapiens); eye conjunctiva (of Homo sapiens),conjunctival scrapings; corneal tissues,human,
Encephalitozoon lacertae,"Intestinal microsporidiosis in African skink Mabuya perrotetii. Intestinal microsporidiosis was documented by detecting abundant slightly curved spores (2.9 x 1.2 microns) in the faeces of five of twelve skinks Mabuya perrotetii Duméril et Bibron, 1839 that originated from Ghana. Clinically, the microsporidiosis was characterized by decreased appetite, diarrhea, and weight loss. Histopathological changes consisted of villous atrophy, blunting of mucosa and flattening of individual epithelial cells in the large intestine. The ultrastructure of microsporidian spores was consistent with an Encephalitozoon species. The PCR-RFLP assay and the heteroduplex mobility shift analyses were used to verify that the skink microsporidian is a species of the genus Encephalitozoon Levaditi, Nicolau et Schoen, 1923 and indicate that this microsporidian is not E. hellem, E. intestinalis or a strain of E. cuniculi. The microsporidia in African skink represent an Encephalitozoon species morphologically identical to Encephalitozoon lacertae Canning, 1981.",Mabuya perrotetii; Podracis muralis,large intestine epithelium; cloaca,Mucosa; epithelial cells in the large intestine,Mabuya perrotetii,
Encephalitozoon sp. 6,"Encephalitozoon-Like Microsporidia in the Ticks Amblyomma cajennense and Anocentor nitens (Acari: Ixodidae). A Encephalitozoon-like microsporidia was found in epithelial cells o the midgut and the salivary glands of Amblyomma cajennense (F.) and Anocentor nitens (Neumann) that had fed on rabbits. Ultrastructural studies demonstrated that all stages of the life cycle of the parasite occur m parasitophorous vacuoles and contain only 1 nucleus. The sporonts detach from the limiting membrane of the vacuole and divide by binary fission to produce the sporoblasts, each presenting a thickened electron-dense wall, and a primordium of a polar filament. Each spore contained a single nucleus, an electron-dense and rough exospore, an electron-lucent and thick endospore, and 5 coils of the polar tubule.",Amblyomma cajennense; Anocentor nitens,midgut epithelium; salivary gland,NA,,
Enterocytospora artemiae,"Cytological, molecular and life cycle characterization of Anostracospora rigaudi n. g., n. sp. and Enterocytospora artemiae n. g., n. sp., two new microsporidian parasites infecting gut tissues of the brine shrimp Artemia. SUMMARY Two new microsporidia, Anostracospora rigaudi n. g., n. sp., and Enterocytospora artemiae n. g., n. sp. infecting the intestinal epithelium of Artemia parthenogenetica Bowen and Sterling, 1978 and Artemia franciscana Kellogg, 1906 in southern France are described. Molecular analyses revealed the two species belong to a clade of microsporidian parasites that preferentially infect the intestinal epithelium of insect and crustacean hosts. These parasites are morphologically distinguishable from other gut microsporidia infecting Artemia. All life cycle stages have isolated nuclei. Fixed spores measure 1·3×0·7 μm with 5–6 polar tube coils for A. rigaudi and 1·2×0·9 μm with 4 polar tube coils for E. artemiae. Transmission of both species is horizontal, most likely through the ingestion of spores released with the faeces of infected hosts. The minute size of these species, together with their intestinal localization, makes their detection and identification difficult. We developed two species-specific molecular markers allowing each type of infection to be detected within 3–6 days post-inoculation. Using these markers, we show that the prevalence of these microsporidia ranges from 20% to 75% in natural populations. Hence, this study illustrates the usefulness of molecular approaches to study prevalent, but cryptic, infections involving microsporidian parasites of gut tissues.",Artemia franciscana; Artemia monica; parthenogenetica,Intestinal epithelium,NA,,
Enterocytozoon bieneusi,"Occurrence of a new microsporidan: Enterocytozoon bieneusi n.g., n. sp., in the enterocytes of a human patient with AIDS. A new microsporidium is reported infesting the enterocytes of a Haitian patients with AIDS. The stages observed were diplokaryotic cells, sporogonial plasmodia, unikaryotic sporoblasts, and spores. Neither a sporophorous vesicle (pansporoblastic membrane) nor parasitophorous vacuole were differentiated around the developmental stages, which were in direct contact with the host cell cytoplasm. The polar tube (5-6 coils) was differentiated before fission of the sporogonial plasmodium. The mature spores measured 1.5 micron X 0.5 micron. The spore wall was very thin as the endospore was absent or poorly differentiated. The organism is named Enterocytozoon bieneusi n. g., n. sp. and is assigned to the suborder Apansporoblastina.",Homo sapiens; Macaca mulatta,"intestinal epithelium (enterocytes, of Homo sapiens); bilary duct; nasal epithelium; gallbladder (of Macaca mulatta); common bile duct (of Macaca mulatta); intrahepatic bile duct (of Macaca mulatta)",NA,,
