species,title_abstract,species_corrected,hosts_corrected,infection_site,infection_site_parenthesized,infection_site_not_in_text,parenthesized_not_in_text,infection_site_corrected,parenthesized_corrected
Encephalitozoon intestinalis (= Septata intestinalis) (1),"Septata Intestinalis N. G., N. Sp., an Intestinal Microsporidian Associated With Chronic Diarrhea and Dissemination In Aids Patients. Intestinal microsporidiosis in patients diagnosed with acquired immunodeficiency syndrome (AIDS) and having chronic diarrhea was first reported in 1985 and the associated microsporidian was named Enterocytozoon bieneusi. the intracellular developmental cycle of E. bieneusi in enterocytes has been demonstrated and many cases have been reported worldwide. This report presents the life cycle of a second intestinal microsporidian, associated with the same symptoms, in five AIDS patients. This new microsporidian also infects enterocytes but its pathology and morphology differ from that of E. bieneusi. It involves lamina propria macrophages, fibroblasts, and endothelial cells and can disseminate to infect other parts of the body, e.g. the kidney and gall bladder. the parasite cycle includes development of rounded uninucleate and elongated bi‐ or tetranucleate cells without the formation of plasmodial stages. Sporogony is similar to the more typical development of microsporidia with sporoblast morphogenesis occurring after the last cell division. the development of cells within chambers of a septate, honeycomb‐like, parasite‐secreted fibrillar network and surrounded by a parasitophorous vacuole, however, is unique to this microsporidian, justifying the establishment of a new genus and species, Septata intestinalis n. g., n. sp.",Septata Intestinalis,Aids Patients,intestines; villus enterocytes; lamina propria macrophages; lamina propria fibroblasts; lamina propria endothelial cells; gall bladder epithelium; gall bladder macrophages; kidney tubular cells; kidney transitional cells; nasal mucosa,NA,intestines; villus enterocytes; lamina propria fibroblasts; lamina propria endothelial cells; gall bladder epithelium; gall bladder macrophages; kidney tubular cells; kidney transitional cells; nasal mucosa,NA,fibroblasts; endothelial cells; kidney; gall bladder,NA
Encephalitozoon lacertae,"Intestinal microsporidiosis in African skink Mabuya perrotetii. Intestinal microsporidiosis was documented by detecting abundant slightly curved spores (2.9 x 1.2 microns) in the faeces of five of twelve skinks Mabuya perrotetii Duméril et Bibron, 1839 that originated from Ghana. Clinically, the microsporidiosis was characterized by decreased appetite, diarrhea, and weight loss. Histopathological changes consisted of villous atrophy, blunting of mucosa and flattening of individual epithelial cells in the large intestine. The ultrastructure of microsporidian spores was consistent with an Encephalitozoon species. The PCR-RFLP assay and the heteroduplex mobility shift analyses were used to verify that the skink microsporidian is a species of the genus Encephalitozoon Levaditi, Nicolau et Schoen, 1923 and indicate that this microsporidian is not E. hellem, E. intestinalis or a strain of E. cuniculi. The microsporidia in African skink represent an Encephalitozoon species morphologically identical to Encephalitozoon lacertae Canning, 1981.",Encephalitozoon lacertae,Mabuya perrotetii,large intestine epithelium; cloaca,NA,large intestine epithelium; cloaca,NA,NA,NA
Encephalitozoon romaleae,"A new encephalitozoon species (microsporidia) isolated from the lubber grasshopper, romalea microptera (Beauvois) (Orthoptera: Romaleidae). We describe a new microsporidian species, Encephalitozoon romaleae n. sp., isolated from an invertebrate host, the grasshopper Romalea microptera, collected near Weeks Island, Louisiana, and Jacksonville, Florida. This microsporidian is characterized by specificity to the gastric caecae and midgut tissues of the host and a life cycle that is nearly identical to that of Encephalitozoon hellem and Encephalitozoon cuniculi. Mature spores are larger (3.97 × 1.95 μm) than those of other Encephalitozoon species. Polar filament coils number 7 to 8 in a single row. Analysis of the small subunit (SSU) rDNA shows that E. romaleae fits well into the Encephalitozoon group and is a sister taxon to E. hellem. This is the first Encephalitozoon species that has been shown to complete its life cycle in an invertebrate host. © 2009 American Society of Parasitologists.",Encephalitozoon romaleae,Romalea microptera,epithelium; intestinal; midgut,NA,epithelium; intestinal,NA,gastric caecae,NA
Encephalitozoon sp. (?),Microsporidiosis in a peach-faced lovebird (Agapornis roseicollis),NA,Agapornis roseicolli,liver; kidney,tubule epithelium,liver; kidney,tubule epithelium,NA,NA
Encephalitozoon sp. 3,"Ultrastructure of the development of a species of Encephalitozoon cultured from the eye of an AIDS patient. Human fibroblast cell cultures inoculated with microsporidia-infected corneal scrapings from an AIDS patient were fixed in situ and examined by scanning and transmission electron microscopy. The parasite grew prolifically and all developmental stages were observed. Meronts underwent binary fission and the daughter cells transformed into clongate, chain-like sporonts that eventually separated into sporoblasts. The formation of components of the mature spores is described. The parasite, a species of Encephalitozoon, underwent development both in the cytoplasm and within a parasitophorous vacuole, distinguishing it from the morphologically similar species E. cuniculi and E. hellem, both of which have been described from lesions in the human eye and have been reported to develop exclusively within a parasitophorous vacuole.",NA,AIDS patient,eye cornea,NA,eye cornea,NA,corneal scrapings,NA
Encephalitozoon sp. 4,"LIGHT-MICROSCOPIC AND ULTRASTRUCTURAL-STUDY OF GURLEYA-LEGERI-SENSU MACKINNON (1911) WITH ESTABLISHMENT OF THE NEW SPECIES GURLEYA-DORISAE SP-N (MICROSPORA, GURLEYIDAE). The microsporidium Gurleya dorisae sp. n., a parasite of caddis fly larvae of the species Anabolin nervosa and Micropterna lateralis, is described based on light microscopic and ultrastructural characteristics. All life cycle stages have isolated nuclei. The merogonial reproduction was revealed by small groups of merozoites. The dominant sporogony yields four sporoblasts by rosette-like budding, enclosed in a sporophorous vesicle produced by the sporont. Together with the tetrasporous sporogony production of macrospores in 3-, 2- or 1-sporous vesicles occurs. Spores are pyriform, with pointed anterior pole. Fixed tetraspores from A. nervosa measure 3.0-3.5 x 4.6-5.2 mu m. The greatest fixed macrospores observed were 10.4 mu m long. The spore wall has the normal three subdivisions, including a layered, ca 43 nm wide exospore, where the intermediate layer is a double-layer The polaroplast has two lamellar parts, with the anterior lamellae more closely packed. The polar filament is isofilar, with 20-25 coils in tetraspores, up to 34 coils in macrospores. The coils have approximately identical diameter in tetraspores and macrospores. Granular and tubular inclusions of two kinds appear in the episporontal space. Wide, septate tubules of exospore nature disappear when the spores mature. Narrow, thin-walled tubules persist. Macrospores often exhibit aberrant cytology. In A. nervosa the adipose tissue is more or less completely invaded by the parasite. The fat body lobes are not transformed into syncytia. Defense reactions were not observed in this host. Infection in M. lateralis was visible as local herds, and nodule formation with incorporation of dark pigment was observed. The species is compared to previously described microsporidia of caddis flies and the generic position is discussed. It is obviously identical to the microsporidium Mackinnon (1911) reported under the name Gurleya legeri Hesse, 1903.",NA,NA,found in a liver lesion caused by Echinococcus multilocularis,NA,found in a liver lesion caused by Echinococcus multilocularis,NA,NA,NA
Encephalitozoon sp. 6,"Encephalitozoon-Like Microsporidia in the Ticks Amblyomma cajennense and Anocentor nitens (Acari: Ixodidae). A Encephalitozoon-like microsporidia was found in epithelial cells o the midgut and the salivary glands of Amblyomma cajennense (F.) and Anocentor nitens (Neumann) that had fed on rabbits. Ultrastructural studies demonstrated that all stages of the life cycle of the parasite occur m parasitophorous vacuoles and contain only 1 nucleus. The sporonts detach from the limiting membrane of the vacuole and divide by binary fission to produce the sporoblasts, each presenting a thickened electron-dense wall, and a primordium of a polar filament. Each spore contained a single nucleus, an electron-dense and rough exospore, an electron-lucent and thick endospore, and 5 coils of the polar tubule.",Encephalitozoon-like microsporidia,Amblyomma cajennense; Anocentor nitens,midgut epithelium; salivary gland,NA,midgut epithelium,,"midgut (Amblyomma cajennense, Anocentor nitens); salivary glands (Amblyomma cajennense, Anocentor nitens) ",NA
Encephalitozoon sp. 7,"A microsporidian previously undescribed in homo sapiens, infecting enterocytes and macrophages, and associated with diarrhea in an acquired immunodeficiency syndrome patient. To date, the only microsporidian that has been associated with diarrhea and weight loss in acquired immunodeficiency syndrome patients is the newly identified Enterocytozoon bieneusi. A second species is now described that was associated with intestinal symptoms in a 32-year-old, human immunodeficiency virus-seropositive, Native American male homosexual. Stool studies and routine light microscopy of multiple small intestinal biopsies that showed atrophy with acute and chronic inilammation were without apparent patho- gens. Light microscopy of semi-thin plastic sections, cytochemical stains of paraffin sections, and ultrastructural studies revealed extensive microsporidial infection of enterocytes and submucosal macrophages. No other pathogens were identified. Unlike E bieneuri, this microsporidian appeared to develop within septated parasitophorous vacuoles, and lacked polar disks and clear clefts. It most closely resembled, but was distinguishable from, members of the genus Encephalitozoon. Awareness of the microsporidia as potential opportunists in acquired immunodeficiency syndrome patients is increasing the incidence of identification of these organisms.",NA,Homo sapiens,jejunal enterocytes; distal duodenal enterocytes; macrophages,NA,jejunal enterocytes; distal duodenal enterocytes,NA,enterocytes; macrophages,NA
Endoreticulatus eriocheir (Hepatospora eriocheir),"Ultrastructural study on a novel microsporidian, Endoreticulatus eriocheir sp. nov. (Microsporidia, Encephalitozoonidae), parasite of Chinese mitten crab, Eriocheir sinensis (Crustacea, Decapoda). A microsporidian pathogen, infecting the epithelial cells of the hepatopancreas of Chinese mitten crab, Eriocheir sinensis, was studied by electron microscopy. The detailed ultrastructure of life cycle of the pathogen including proliferative and sporogonic developmental stages are provided. All stages of the parasite are haplokaryotic and develop in a vacuole bounded by a single membrane in contact with host cell cytoplasm. Sporogenesis is synchronous with the same developmental stage in one vacuole. Sporogony shows a characteristic of multinucleate sporogonial plasmodia divided by rosette-like division, producing 4 or 8 sporoblasts. The mature spore is ellipsoidal, length (mean) 1.7μm, width 1.0μm, with a uninucleate in the center of the sporoplasm, 7 turns of the polar filament, a bell-like polaroplast of compact membranes and obliquely positioned posterior vacuole. The morphological characteristics of this novel microsporidian pathogen have led us to assign the parasite to a new species of Endoreticulatus, E. eriocheir sp. nov., that has not been reported previously from crab.",Endoreticulatus eriocheir,Eriocheir sinensis,epithelium,NA,epithelium,NA,hepatopancreas,NA
Endoreticulatus poecilimonae,"Review of the genus Endoreticulatus (Microsporidia, Encephalitozoonidae) with description of a new species isolated from the grasshopper Poecilimon thoracicus (Orthoptera: Tettigoniidae) and transfer of Microsporidium itiiti Malone to the genus. The historic genus Pleistophora (Plistophora) is a highly polyphyletic clade with invertebrate Microsporidia reassigned to several new genera since the 1980s. Two genera, Endoreticulatus and Cystosporogenes, clearly separate into distinct but closely related clades based on small subunit ribosomal RNA analysis but are included in different families that are each polyphyletic. A microsporidium with morphology resembling the Endoreticulatus/Cystosporogenes clade was isolated from the grasshopper Poecilimon thoracicus from a site in Northwest Bulgaria. It produced intense infections in the digestive tract of the host but no behavioral changes were noted in infected individuals. Prevalence of the microsporidium increased over the active feeding season yearly. Mature spores were oval and measured 2.58±0.21μm×1.34±0.24μm, with 16 to approximately 32 spores in a parasitophorous vacuole. The spores were uninucleate and polar filament coils numbered 8–9 situated in a single row. The spore polaroplast consisted of an anterior lamellar section and a posterior vesicular section, and the posterior vacuole was reduced. Analyses of a 1221bp partial SSU-rRNA sequence indicated that the isolate is more closely related to the Endoreticulatus clade than to Cystosporogenes, but shows earlier phylogenetic separation from species infecting Lepidoptera and represents a new species, Endoreticulatus poecilimonae. To compare sequences of Endoreticulatus spp. from Lepidoptera to those infecting other insect orders, an isolate, Microsporidium itiiti Malone (1985), described from the Argentine stem weevil, Listronotus bonariensis, was sequenced. Like the grasshopper isolate, the weevil isolate is closely related but basal to the lepidopteran Endoreticulatus clade. The original description combined with the new sequence data confirms species status and permits transfer of the isolate from Microsporidium, a genus erected for microsporidian species of uncertain taxonomic status, to Endoreticulatus.",Endoreticulatus poecilimonae,Poecilimon thoracicus,midgut; gastric caeca,NA,midgut; gastric caeca,NA,digestive tract,NA
Endoreticulatus sp. from Eilema complana,"Natural occurrence of microsporidia infecting Lepidoptera in Bulgaria. We examined 34 lepidopteran species belonging to 12 families to determine presence and prevalence of microsporidian pathogens. The insects were collected from May 2009 to July 2012 from 44 sites in Bulgaria. Nosema species were isolated from Archips xylosteana, Tortrix viridana, Operophtera brumata, Orthosia cerasi, and Orthosia cruda. Endoreticulatus sp. was isolated from Eilema complana. The prevalence of all isolates in their hosts was low and ranged from 1.0% to 5.3%. Phylogenetic analyses of the new isolates based on SSU rDNA are presented. © 2017 W. Stefański Institute of Parasitology, PAS 2017.",Endoreticulatus sp.,Eilema complana,Midgut epithelium,NA,Midgut epithelium,NA,NA,NA
Enterocytozoon bieneusi (1),"Occurrence of a new microsporidan: Enterocytozoon bieneusi n.g., n. sp., in the enterocytes of a human patient with AIDS. A new microsporidium is reported infesting the enterocytes of a Haitian patients with AIDS. The stages observed were diplokaryotic cells, sporogonial plasmodia, unikaryotic sporoblasts, and spores. Neither a sporophorous vesicle (pansporoblastic membrane) nor parasitophorous vacuole were differentiated around the developmental stages, which were in direct contact with the host cell cytoplasm. The polar tube (5-6 coils) was differentiated before fission of the sporogonial plasmodium. The mature spores measured 1.5 micron X 0.5 micron. The spore wall was very thin as the endospore was absent or poorly differentiated. The organism is named Enterocytozoon bieneusi n. g., n. sp. and is assigned to the suborder Apansporoblastina.",Enterocytozoon bieneusi,human,intestinal epithelium; bilary duct; nasal epithelium; gallbladder; common bile duct; intrahepatic bile duct,enterocytes,intestinal epithelium; bilary duct; nasal epithelium; gallbladder; common bile duct; intrahepatic bile duct,NA,NA,NA
Enterocytozoon hepatopenaei,"Enterocytozoon hepatopenaei sp. nov. (Microsporida: Enterocytozoonidae), a parasite of the black tiger shrimp Penaeus monodon (Decapoda: Penaeidae): Fine structure and phylogenetic relationships. Abstract A new microsporidian species, Enterocytozoon hepatopenaei sp. nov., is described from the hepatopancreas of the black tiger shrimp Penaeus monodon (Crustacea: Decapoda). Different stages of the parasite are described, from early sporogonal plasmodia to mature spores in the cytoplasm of host-cells. The multinucleate sporogonal plasmodia existed in direct contact with the host-cell cytoplasm and contained numerous small blebs at the surface. Binary fission of the plasmodial nuclei occurred during early plasmodial development and numerous pre-sporoblasts were formed within the plasmodium. Electron-dense disks and precursors of the polar tubule developed in the cytoplasm of the plasmodium prior to budding of early sporoblasts from the plasmodial surface. Mature spores were oval, measuring 0.7×1.1μm and contained a single nucleus, 5–6 coils of the polar filament, a posterior vacuole, an anchoring disk attached to the polar filament, and a thick electron-dense wall. The wall was composed of a plasmalemma, an electron-lucent endospore (10nm) and an electron-dense exospore (2nm). DNA primers designed from microsporidian SSU rRNA were used to amplify an 848bp product from the parasite genome (GenBank Download FJ496356). The sequenced product had 84% identity to the matching region of SSU rRNA from Enterocytozoon bieneusi. Based upon ultrastructural features unique to the family Enterocytozoonidae, cytoplasmic location of the plasmodia and SSU rRNA sequence identity 16% different from E. bieneusi, the parasite was considered to be a new species, E. hepatopenaei, within the genus Enterocytozoon.",Enterocytozoon hepatopenaei,Penaeus monodon,epithelium; hepatopancreas,NA,epithelium,NA,NA,NA
Enterocytozoon salmonis (Nucleospora salmonis) (1),"Enterocytozoon salmonis n. sp.: an intranuclear microsporidium from salmonid fish.. The developmental stages of a recently described microsporidian from the nucleus of hematopoietic cells of salmonid fish were found to be unique among the Microsporida. All observed stages, including meronts, sporonts, and spores were in direct contact with the host cell nucleus (principally hematopoietic cells) of chinook salmon (Oncorhynchus tshawytscha). There is no parasitophorous vacuole and sporogony does not involve formation of a pansporoblastic membrane as with other members of the suborder Apansporoblastina. The extrusion apparatus differentiates prior to division of sporogonial plasmodia. The spores are ovoid (1 x 2 microns) and uninucleate, and possess a coiled polar tube with 8-12 turns. Developmental stages of the salmonid microsporidian are similar to those described for Enterocytozoon bieneusi as found in the intestinal mucosa of human AIDS patients. However, the intranuclear development, different cell types, and host infected clearly separate the salmonid and human parasites. Accordingly, the intranuclear parasite of salmonids is given the name Enterocytozoon salmonis n. sp. within the suborder Apansporoblastina.",Enterocytozoon salmonis,Oncorhynchus tshawytscha,hematopoietic cells; kidney epithelium; urinary tubule epithelium; rodlet cells,NA,kidney epithelium; urinary tubule epithelium; rodlet cells,NA,NA,NA
Enterocytozoon sp.,"An intranuclear microsporidian in lumpfish Cyclopterus lumpus. Chronic mortalities in lumpfish Cyclopterus lumpus raised in a saltwater recirculation system were associated with the presence of an intranuclear rnicrosporidian. Morphologic changes were characterized by infdtration of lymphocyte-like cells predominantly in the renal interstitium and also in the spleen, liver, gills, stomach, pyloric caecae, heart, ovary and mesenteric fat. Affected cell nu- clei contained 1 to more than 6 spherical to oval eosinophilic bodies which stained poorly with hematoxylin and eosin and Giemsa. Ultrastructurally, spores were ovoid (2.1 X 1.0 um) with a polar tube with 11 turns. The morphology of these spores place them in the genus Enterocytozoon. These spores resem- ble E. salmonis in salmonids, and Microsporidia rhabdophilia in the rodlet cells of salmonids.",NA,Cyclopterus lumpus,lymphocyte-like cells in renal interstitum; lymphocyte-like cells in spleen; liver; gills; stomach; pyloric caecae; heart; ovary; mesenteric fat,lamina propria and submucosa,lymphocyte-like cells in renal interstitum; lymphocyte-like cells in spleen,lamina propria and submucosa,NA,NA
Enteropsectra breve,"A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes. Microsporidia are fungi-related intracellular pathogens that may infect virtually all animals, but are poorly understood. The nematode Caenorhabditis elegans has recently become a model host for studying microsporidia through the identification of its natural microsporidian pathogen Nematocida parisii. However, it was unclear how widespread and diverse microsporidia infections are in C. elegans or other related nematodes in the wild. Here we describe the isolation and culture of 47 nematodes with microsporidian infections. N. parisii is found to be the most common microsporidia infecting C. elegans in the wild. In addition, we further describe and name six new species in the Nematocida genus. Our sampling and phylogenetic analysis further identify two subclades that are genetically distinct from Nematocida, and we name them Enteropsectra and Pancytospora. Interestingly, unlike Nematocida, these two genera belong to the main clade of microsporidia that includes human pathogens. All of these microsporidia are horizontally transmitted and most specifically infect intestinal cells, except Pancytospora epiphaga that replicates mostly in the epidermis of its Caenorhabditis host. At the subcellular level in the infected host cell, spores of the novel genus Enteropsectra show a characteristic apical distribution and exit via budding off of the plasma membrane, instead of exiting via exocytosis as spores of Nematocida. Host specificity is broad for some microsporidia, narrow for others: indeed, some microsporidia can infect Oscheius tipulae but not its sister species Oscheius sp. 3, and conversely some microsporidia found infecting Oscheius sp. 3 do not infect O. tipulae. We also show that N. ausubeli fails to strongly induce in C. elegans the transcription of genes that are induced by other Nematocida species, suggesting it has evolved mechanisms to prevent induction of this host response. Altogether, these newly isolated species illustrate the diversity and ubiquity of microsporidian infections in nematodes, and provide a rich resource to investigate host-parasite coevolution in tractable nematode hosts.",NA,Oscheius tipulae,intestine,does not affect intestinal cells,intestine,does not affect intestinal cells,NA,NA
Enterospora canceri,"Enterospora canceri n. gen., n. sp., intranuclear within the hepatopancreatocytes of the European edible crab Cancer pagurus. Only 1 genus (Nucleospora) within 1 family (Enterocytozoonidae) of the Microsporidia contains species that are parasitic within the nuclei of their host cells; to date, all described intranuclear Nucleospora spp. parasitise fish. This study describes the first intranuclear microsporidian parasite of an invertebrate, the European edible crab Cancer pagurus L. (Decapoda: Cancridae). Infected crabs displayed no obvious external signs, and maximum apparent prevalence of infection within a monthly sample was 3.45 %. Infected hepatopancreatic tubules were characterised by varying numbers of hypertrophic and eosinophilic nuclei within epithelial cells. Parasite stages appeared as eosinophilic granular accumulations causing margination of host chromatin. In advanced cases, the tubule epithelia degenerated, with parasites and sloughed epithelial cells appearing in tubule lumens. All life stages of the parasite were observed within host nuclei. Uninucleate meronts were not detected, although binucleate stages were observed. Multinucleate Plasmodia (sporogonal Plasmodia) contained up to 22 nuclei in section, and late-stage Plasmodia contained multiple copies of apparatus resembling the polar filament and anchoring disk, apparently associated with individual plasmodial nuclei. As such, aggregation and early assembly of sporoblast components took place within the intact sporogonial Plasmodium, a feature unique to the Enterocytozoonidae. Liberation of sporoblasts from Plasmodia or the presence of liberated sporoblasts was not observed in this study. However, large numbers of maturing and mature spores (measuring 1.3 ± 0.02 x 0.7 ± 0.01 μm) were frequently observed in direct contact with the host nucleoplasm. Considering the shared features of this parasite with microsporidians of the family Enterocytozoonidae, and the unique presence of this parasite within the nucleoplasm of decapod crustacean hepatopancreatocytes, this parasite (Enterospora canceri) is proposed as the type species of a new genus (Enterospora) of microsporidian. Molecular taxonomic work is now required, comparing Enterospora to Enterocytozoon and Nucleospora, the 2 other genera within the Enterocytozoonidae. © Inter-Research 2007.",Enterospora canceri,Cancer pagurus,epithelium,NA,epithelium,NA,epatopancreatocytes,NA
Enterospora nucleophila,"A new intranuclear microsporidium, Enterospora nucleophila n. sp., causing an emaciative syndrome in a piscine host (Sparus aurata), prompts the redescription of the family Enterocytozoonidae. Graphical abstract Highlights • A new species of microsporidium is described from the intestine of a marine teleost. • The ultrastructural and molecular analyses place it within the Enterocytozoonidae. • The Enterocytozoonidae family is amended. • Intranuclear stages are free in the nucleoplasm and those in the cytoplasm are in a parasitophorous vacuole. • This microsporidium is a potential threat for cultured fish as it drastically reduces growth. Abstract The presence of a new microsporidium is believed to be responsible for an emaciative syndrome observed in farmed gilthead sea bream (Sparus aurata) from different facilities along the Spanish coast. Infected fish were approximately half the average weight and significant mortality was attributed to the condition in some facilities. Clinical signs included anorexia, cachexia and pale internal organs. The microsporidium was found mainly in the intestinal mucosa and occasionally in the submucosa. Morphological, histopathological, ultrastructural and molecular phylogenetic studies were conducted to characterise this organism. This microsporidium undergoes intranuclear development in rodlet cells and enterocytes, and cytoplasmic development mainly in enterocytes and macrophages. The nucleus-infecting plasmodium contains several diplokarya and displays polysporous development which occurs without an interfacial envelope. In the host cell cytoplasm, the parasite develops within a membrane-bound matrix. In both infection locations, the polar tube precursors appear as disks, first with lucent centres, then as fully dense disks as they fuse to form the polar filament, all before division of the plasmodium into sporoblasts. Up to 16 intranuclear spores result from the sporogonic development of a single plasmodium, whereas more than 40 spores result from several asynchronous reproductive cycles in the cytoplasmic infection. Fixed spores are ellipsoidal and diplokaryotic, with five to six coils of an isofilar polar filament in a single row. ssrDNA-based molecular phylogenetic inference places this parasite as a sister clade to crustacean-infecting species of the Enterocytozoonidae and closer to Enterocytozoon bieneusi than to other fish-infecting microsporidians presenting intranuclear development, i.e. Nucleospora, Paranucleospora and Desmozoon. Our studies result in the erection of a new species, Enterospora nucleophila, within the family Enterocytozoonidae, and the description of this family is amended accordingly to accommodate the features of known species assigned to it. Severe histopathological damage occurs in intense infections and this microsporidian is considered a serious emerging threat in sea bream production.",Enterospora nucleophila,Sparus aurata,primarily intestine; rarely in the stomach,NA,primarily intestine; rarely in the stomach,NA,intestinal mucosa; submucosa,NA
Episeptum anaboliae,"Aquatic tetrasporoblastic microsporidia from caddis flies (Insecta, Trichoptera): Characterisation, phylogeny and taxonomic reevaluation of the genera Episeptum Larsson, 1986, Pyrotheca Hesse, 1935 and Cougourdella Hesse, 1935. Seven microsporidian species infecting caddis fly larvae, corresponding to conventional genera Episeptum, Pyrotheca and Cougourdella were studied using light and electron microscopy. Parts of their small subunit, ITS and large subunit ribosomal RNA genes were sequenced and compared with sequences of rDNA obtained from syntype slides of Cougourdella polycentropi Weiser 1965 and Pyrotheca sp. from Hydropsyche pellucidula. All studied caddis fly microsporidia form a closely related group. Their developmental stages in trichopteran hosts are restricted to fat body cells and oenocytes and have isolated nuclei. In late merogony, uninucleate meronts and binucleate plasmodia are formed. In sporogony a sporogonial plasmodium with four nuclei gives rise by rosette-like budding to four sporoblasts within a non-persistent sporophorous vesicle. Sporoblasts mature into pyriform to lageniform spores. The shape and size of spores, the number of polar filament coils, the structure of the polaroplast and of the exospore, together with morphometric characters present a set of markers unique for respective species. Four new species are established. The new genus Paraepiseptum is proposed to replace the tetrasporoblastic Pyrotheca and Cougourdella species from caddis flies. The genus Episeptum is redefined. Field and laboratory examinations as well as the phylogenetic position within the aquatic clade of microsporidia suggest that the life cycle of trichopteran microsporidia probably involves an alternate (copepod?) host and (or) transovarial transmission.",NA,NA,adipose,NA,adipose,NA,fat body; oenocytes,NA
Episeptum pseudoinversum,"Aquatic tetrasporoblastic microsporidia from caddis flies (Insecta, Trichoptera): Characterisation, phylogeny and taxonomic reevaluation of the genera Episeptum Larsson, 1986, Pyrotheca Hesse, 1935 and Cougourdella Hesse, 1935. Seven microsporidian species infecting caddis fly larvae, corresponding to conventional genera Episeptum, Pyrotheca and Cougourdella were studied using light and electron microscopy. Parts of their small subunit, ITS and large subunit ribosomal RNA genes were sequenced and compared with sequences of rDNA obtained from syntype slides of Cougourdella polycentropi Weiser 1965 and Pyrotheca sp. from Hydropsyche pellucidula. All studied caddis fly microsporidia form a closely related group. Their developmental stages in trichopteran hosts are restricted to fat body cells and oenocytes and have isolated nuclei. In late merogony, uninucleate meronts and binucleate plasmodia are formed. In sporogony a sporogonial plasmodium with four nuclei gives rise by rosette-like budding to four sporoblasts within a non-persistent sporophorous vesicle. Sporoblasts mature into pyriform to lageniform spores. The shape and size of spores, the number of polar filament coils, the structure of the polaroplast and of the exospore, together with morphometric characters present a set of markers unique for respective species. Four new species are established. The new genus Paraepiseptum is proposed to replace the tetrasporoblastic Pyrotheca and Cougourdella species from caddis flies. The genus Episeptum is redefined. Field and laboratory examinations as well as the phylogenetic position within the aquatic clade of microsporidia suggest that the life cycle of trichopteran microsporidia probably involves an alternate (copepod?) host and (or) transovarial transmission.",NA,NA,adipose,NA,adipose,NA,fat body; oenocytes,NA
Episeptum trichoinvadens,"Aquatic tetrasporoblastic microsporidia from caddis flies (Insecta, Trichoptera): Characterisation, phylogeny and taxonomic reevaluation of the genera Episeptum Larsson, 1986, Pyrotheca Hesse, 1935 and Cougourdella Hesse, 1935. Seven microsporidian species infecting caddis fly larvae, corresponding to conventional genera Episeptum, Pyrotheca and Cougourdella were studied using light and electron microscopy. Parts of their small subunit, ITS and large subunit ribosomal RNA genes were sequenced and compared with sequences of rDNA obtained from syntype slides of Cougourdella polycentropi Weiser 1965 and Pyrotheca sp. from Hydropsyche pellucidula. All studied caddis fly microsporidia form a closely related group. Their developmental stages in trichopteran hosts are restricted to fat body cells and oenocytes and have isolated nuclei. In late merogony, uninucleate meronts and binucleate plasmodia are formed. In sporogony a sporogonial plasmodium with four nuclei gives rise by rosette-like budding to four sporoblasts within a non-persistent sporophorous vesicle. Sporoblasts mature into pyriform to lageniform spores. The shape and size of spores, the number of polar filament coils, the structure of the polaroplast and of the exospore, together with morphometric characters present a set of markers unique for respective species. Four new species are established. The new genus Paraepiseptum is proposed to replace the tetrasporoblastic Pyrotheca and Cougourdella species from caddis flies. The genus Episeptum is redefined. Field and laboratory examinations as well as the phylogenetic position within the aquatic clade of microsporidia suggest that the life cycle of trichopteran microsporidia probably involves an alternate (copepod?) host and (or) transovarial transmission.",NA,NA,adipose,NA,adipose,NA,fat body; oenocytes,NA
Episeptuni inversum,"Ultracytology of a Tetrasporoblastic Microsporidium of the Caddis fly Holocentropus picicornis (Trichoptera, Polycentropodidae), with Description of Episeptuni inversum gen.et sp. nov. (Microspora, Gurleyidae)",Episeptuni inversum,Holocentropus picicornis,adipose tissue,NA,adipose tissue,NA,NA,NA
